species,climate,variant,scenario_name,description,source_path,resistance_path,suitability_exponent,suitability_weight,land_weight,pa_multiplier,reduce_full_barriers,source_exists,resistance_exists,inputs_exist,radius,status,error_message,start_time,finish_time,elapsed_minutes,cumulative_current_path,normalized_current_path,flow_potential_path,classified_resistance_path
ang,hist,baseline,ang_hist_baseline,Main resistance model,C:/Users/terre/Documents/R/vaccinium/connectivity_inputs/sensitivity_analysis/baseline/ang/ang_hist_source.tif,C:/Users/terre/Documents/R/vaccinium/connectivity_inputs/sensitivity_analysis/baseline/ang/ang_hist_resistance.tif,3,0.5,0.5,0.75,FALSE,TRUE,TRUE,TRUE,5,success,NA,2026-07-23T14:20:54Z,2026-07-23T14:39:16Z,18.363556150595347,C:\Users\terre\Documents\R\vaccinium\connectivity_syncrosim\vaccinium_connectivity.ssim.data\Scenario-21\omniscape_outputSpatial\cum_currmap.tif,C:\Users\terre\Documents\R\vaccinium\connectivity_syncrosim\vaccinium_connectivity.ssim.data\Scenario-21\omniscape_outputSpatial\normalized_cum_currmap.tif,C:\Users\terre\Documents\R\vaccinium\connectivity_syncrosim\vaccinium_connectivity.ssim.data\Scenario-21\omniscape_outputSpatial\flow_potential.tif,C:\Users\terre\Documents\R\vaccinium\connectivity_syncrosim\vaccinium_connectivity.ssim.data\Scenario-21\omniscape_outputSpatial\ang_hist_resistance.tif
ang,hist,land_weighted,ang_hist_land_weighted,Land cover receives 75% of component weight,C:/Users/terre/Documents/R/vaccinium/connectivity_inputs/sensitivity_analysis/land_weighted/ang/ang_hist_source.tif,C:/Users/terre/Documents/R/vaccinium/connectivity_inputs/sensitivity_analysis/land_weighted/ang/ang_hist_resistance.tif,3,0.25,0.75,0.75,FALSE,TRUE,TRUE,TRUE,5,not_started,NA,NA,NA,NA,NA,NA,NA,NA
ang,hist,no_pa_effect,ang_hist_no_pa_effect,Protected areas do not modify resistance,C:/Users/terre/Documents/R/vaccinium/connectivity_inputs/sensitivity_analysis/no_pa_effect/ang/ang_hist_source.tif,C:/Users/terre/Documents/R/vaccinium/connectivity_inputs/sensitivity_analysis/no_pa_effect/ang/ang_hist_resistance.tif,3,0.5,0.5,1,FALSE,TRUE,TRUE,TRUE,5,not_started,NA,NA,NA,NA,NA,NA,NA,NA
ang,hist,pa_full_barriers,ang_hist_pa_full_barriers,Protected areas may modify full land-cover barriers,C:/Users/terre/Documents/R/vaccinium/connectivity_inputs/sensitivity_analysis/pa_full_barriers/ang/ang_hist_source.tif,C:/Users/terre/Documents/R/vaccinium/connectivity_inputs/sensitivity_analysis/pa_full_barriers/ang/ang_hist_resistance.tif,3,0.5,0.5,0.75,TRUE,TRUE,TRUE,TRUE,5,not_started,NA,NA,NA,NA,NA,NA,NA,NA
ang,hist,shallow_suitability,ang_hist_shallow_suitability,Shallower suitability-resistance curve,C:/Users/terre/Documents/R/vaccinium/connectivity_inputs/sensitivity_analysis/shallow_suitability/ang/ang_hist_source.tif,C:/Users/terre/Documents/R/vaccinium/connectivity_inputs/sensitivity_analysis/shallow_suitability/ang/ang_hist_resistance.tif,2,0.5,0.5,0.75,FALSE,TRUE,TRUE,TRUE,5,not_started,NA,NA,NA,NA,NA,NA,NA,NA
ang,hist,steep_suitability,ang_hist_steep_suitability,Steeper suitability-resistance curve,C:/Users/terre/Documents/R/vaccinium/connectivity_inputs/sensitivity_analysis/steep_suitability/ang/ang_hist_source.tif,C:/Users/terre/Documents/R/vaccinium/connectivity_inputs/sensitivity_analysis/steep_suitability/ang/ang_hist_resistance.tif,4,0.5,0.5,0.75,FALSE,TRUE,TRUE,TRUE,5,not_started,NA,NA,NA,NA,NA,NA,NA,NA
ang,hist,strong_pa_effect,ang_hist_strong_pa_effect,Protected areas reduce resistance by 50%,C:/Users/terre/Documents/R/vaccinium/connectivity_inputs/sensitivity_analysis/strong_pa_effect/ang/ang_hist_source.tif,C:/Users/terre/Documents/R/vaccinium/connectivity_inputs/sensitivity_analysis/strong_pa_effect/ang/ang_hist_resistance.tif,3,0.5,0.5,0.5,FALSE,TRUE,TRUE,TRUE,5,not_started,NA,NA,NA,NA,NA,NA,NA,NA
ang,hist,suitability_weighted,ang_hist_suitability_weighted,Suitability receives 75% of component weight,C:/Users/terre/Documents/R/vaccinium/connectivity_inputs/sensitivity_analysis/suitability_weighted/ang/ang_hist_source.tif,C:/Users/terre/Documents/R/vaccinium/connectivity_inputs/sensitivity_analysis/suitability_weighted/ang/ang_hist_resistance.tif,3,0.75,0.25,0.75,FALSE,TRUE,TRUE,TRUE,5,not_started,NA,NA,NA,NA,NA,NA,NA,NA
ash,hist,baseline,ash_hist_baseline,Main resistance model,C:/Users/terre/Documents/R/vaccinium/connectivity_inputs/sensitivity_analysis/baseline/ash/ash_hist_source.tif,C:/Users/terre/Documents/R/vaccinium/connectivity_inputs/sensitivity_analysis/baseline/ash/ash_hist_resistance.tif,3,0.5,0.5,0.75,FALSE,TRUE,TRUE,TRUE,5,not_started,NA,NA,NA,NA,NA,NA,NA,NA
ash,hist,land_weighted,ash_hist_land_weighted,Land cover receives 75% of component weight,C:/Users/terre/Documents/R/vaccinium/connectivity_inputs/sensitivity_analysis/land_weighted/ash/ash_hist_source.tif,C:/Users/terre/Documents/R/vaccinium/connectivity_inputs/sensitivity_analysis/land_weighted/ash/ash_hist_resistance.tif,3,0.25,0.75,0.75,FALSE,TRUE,TRUE,TRUE,5,not_started,NA,NA,NA,NA,NA,NA,NA,NA
ash,hist,no_pa_effect,ash_hist_no_pa_effect,Protected areas do not modify resistance,C:/Users/terre/Documents/R/vaccinium/connectivity_inputs/sensitivity_analysis/no_pa_effect/ash/ash_hist_source.tif,C:/Users/terre/Documents/R/vaccinium/connectivity_inputs/sensitivity_analysis/no_pa_effect/ash/ash_hist_resistance.tif,3,0.5,0.5,1,FALSE,TRUE,TRUE,TRUE,5,not_started,NA,NA,NA,NA,NA,NA,NA,NA
ash,hist,pa_full_barriers,ash_hist_pa_full_barriers,Protected areas may modify full land-cover barriers,C:/Users/terre/Documents/R/vaccinium/connectivity_inputs/sensitivity_analysis/pa_full_barriers/ash/ash_hist_source.tif,C:/Users/terre/Documents/R/vaccinium/connectivity_inputs/sensitivity_analysis/pa_full_barriers/ash/ash_hist_resistance.tif,3,0.5,0.5,0.75,TRUE,TRUE,TRUE,TRUE,5,not_started,NA,NA,NA,NA,NA,NA,NA,NA
ash,hist,shallow_suitability,ash_hist_shallow_suitability,Shallower suitability-resistance curve,C:/Users/terre/Documents/R/vaccinium/connectivity_inputs/sensitivity_analysis/shallow_suitability/ash/ash_hist_source.tif,C:/Users/terre/Documents/R/vaccinium/connectivity_inputs/sensitivity_analysis/shallow_suitability/ash/ash_hist_resistance.tif,2,0.5,0.5,0.75,FALSE,TRUE,TRUE,TRUE,5,not_started,NA,NA,NA,NA,NA,NA,NA,NA
ash,hist,steep_suitability,ash_hist_steep_suitability,Steeper suitability-resistance curve,C:/Users/terre/Documents/R/vaccinium/connectivity_inputs/sensitivity_analysis/steep_suitability/ash/ash_hist_source.tif,C:/Users/terre/Documents/R/vaccinium/connectivity_inputs/sensitivity_analysis/steep_suitability/ash/ash_hist_resistance.tif,4,0.5,0.5,0.75,FALSE,TRUE,TRUE,TRUE,5,not_started,NA,NA,NA,NA,NA,NA,NA,NA
