"sp","time_code","thr_high","n_occ_total","n_suitable_occ_high","n_protected_occ_high","proportion_suitable","proportion_protected"
"ang","hist",0.71869957447052,6824,3186,400,46.69,5.86
"ang","ssp245_30",0.71869957447052,6824,1524,319,22.33,4.67
"ang","ssp245_50",0.71869957447052,6824,666,154,9.76,2.26
"ang","ssp245_70",0.71869957447052,6824,343,80,5.03,1.17
"ang","ssp585_30",0.71869957447052,6824,1273,274,18.65,4.02
"ang","ssp585_50",0.71869957447052,6824,310,76,4.54,1.11
"ang","ssp585_70",0.71869957447052,6824,48,12,0.7,0.18
"arb","hist",0.657547533512115,3937,1968,132,49.99,3.35
"arb","ssp245_30",0.657547533512115,3937,1143,71,29.03,1.8
"arb","ssp245_50",0.657547533512115,3937,904,65,22.96,1.65
"arb","ssp245_70",0.657547533512115,3937,843,62,21.41,1.57
"arb","ssp585_30",0.657547533512115,3937,1100,71,27.94,1.8
"arb","ssp585_50",0.657547533512115,3937,779,49,19.79,1.24
"arb","ssp585_70",0.657547533512115,3937,255,23,6.48,0.58
"bor","hist",0.697989583015442,193,95,30,49.22,15.54
"bor","ssp245_30",0.697989583015442,193,34,12,17.62,6.22
"bor","ssp245_50",0.697989583015442,193,2,2,1.04,1.04
"bor","ssp245_70",0.697989583015442,193,0,0,0,0
"bor","ssp585_30",0.697989583015442,193,17,7,8.81,3.63
"bor","ssp585_50",0.697989583015442,193,0,0,0,0
"bor","ssp585_70",0.697989583015442,193,1,0,0.52,0
"ces","hist",0.737692892551422,2205,1097,517,49.75,23.45
"ces","ssp245_30",0.737692892551422,2205,745,415,33.79,18.82
"ces","ssp245_50",0.737692892551422,2205,574,351,26.03,15.92
"ces","ssp245_70",0.737692892551422,2205,390,256,17.69,11.61
"ces","ssp585_30",0.737692892551422,2205,714,401,32.38,18.19
"ces","ssp585_50",0.737692892551422,2205,377,249,17.1,11.29
"ces","ssp585_70",0.737692892551422,2205,69,60,3.13,2.72
"cor","hist",0.66610848903656,6086,2958,255,48.6,4.19
"cor","ssp245_30",0.66610848903656,6086,1391,118,22.86,1.94
"cor","ssp245_50",0.66610848903656,6086,875,94,14.38,1.54
"cor","ssp245_70",0.66610848903656,6086,405,59,6.65,0.97
"cor","ssp585_30",0.66610848903656,6086,1226,107,20.14,1.76
"cor","ssp585_50",0.66610848903656,6086,380,58,6.24,0.95
"cor","ssp585_70",0.66610848903656,6086,85,31,1.4,0.51
"cra","hist",0.791906327009201,202,101,23,50,11.39
"cra","ssp245_30",0.791906327009201,202,0,0,0,0
"cra","ssp245_50",0.791906327009201,202,0,0,0,0
"cra","ssp245_70",0.791906327009201,202,0,0,0,0
"cra","ssp585_30",0.791906327009201,202,0,0,0,0
"cra","ssp585_50",0.791906327009201,202,0,0,0,0
"cra","ssp585_70",0.791906327009201,202,0,0,0,0
"dar","hist",0.752742826938629,606,303,39,50,6.44
"dar","ssp245_30",0.752742826938629,606,0,0,0,0
"dar","ssp245_50",0.752742826938629,606,0,0,0,0
"dar","ssp245_70",0.752742826938629,606,0,0,0,0
"dar","ssp585_30",0.752742826938629,606,0,0,0,0
"dar","ssp585_50",0.752742826938629,606,0,0,0,0
"dar","ssp585_70",0.752742826938629,606,0,0,0,0
"del","hist",0.78864711523056,320,160,129,50,40.31
"del","ssp245_30",0.78864711523056,320,63,61,19.69,19.06
"del","ssp245_50",0.78864711523056,320,31,30,9.69,9.38
"del","ssp245_70",0.78864711523056,320,14,13,4.38,4.06
"del","ssp585_30",0.78864711523056,320,54,53,16.88,16.56
"del","ssp585_50",0.78864711523056,320,15,14,4.69,4.38
"del","ssp585_70",0.78864711523056,320,8,7,2.5,2.19
"ery","hist",0.761768639087677,169,85,42,50.3,24.85
"ery","ssp245_30",0.761768639087677,169,1,0,0.59,0
"ery","ssp245_50",0.761768639087677,169,0,0,0,0
"ery","ssp245_70",0.761768639087677,169,0,0,0,0
"ery","ssp585_30",0.761768639087677,169,1,0,0.59,0
