lat,lon,dateColl
55.208333,-107.389444,2024-08-15
55.208611,-107.389444,2024-08-15
55.208611,-107.388889,2024-08-15
55.475278,-106.843889,2024-08-15
55.475278,-106.844167,2024-08-15
55.475833,-106.844167,2024-08-15
55.775278,-106.554167,2024-08-15
55.734722,-106.562778,2024-08-15
55.733611,-106.565,2024-08-15
55.823889,-106.536667,2024-08-15
55.778611,-106.560556,2024-08-15
55.55323,-106.61051,2024-08-15
55.55363,-106.61051,2024-08-15
55.63979,-106.59256,2024-08-15
55.60602,-106.60514,2024-08-15
55.63996,-106.59276,2024-08-15
55.59224,-106.61129,2024-08-15
55.63994,-106.59285,2024-08-15
53.552611,-105.76925,2024-08-31
53.775167,-105.891472,2024-08-31
53.922778,-105.892778,2024-08-31
54.039028,-105.907833,2024-08-31
54.077389,-105.937611,2024-08-31
54.132111,-105.948333,2024-08-31
54.180833,-105.96525,2024-08-31
54.236611,-105.948611,2024-09-27
53.634528,-105.928278,2024-09-27
53.636194,-105.926111,2024-09-27
53.636222,-105.926306,2024-09-27
53.666944,-105.989444,2024-09-27
53.96825,-105.901667,2024-09-27
53.972583,-105.896139,2024-09-27
53.97475,-105.890583,2024-09-27
