"","gbifID","accessRights","bibliographicCitation","language","license","modified","publisher","references","rightsHolder","type","institutionID","collectionID","datasetID","institutionCode","collectionCode","datasetName","ownerInstitutionCode","basisOfRecord","informationWithheld","dataGeneralizations","dynamicProperties","occurrenceID","catalogNumber","recordNumber","recordedBy","recordedByID","individualCount","organismQuantity","organismQuantityType","sex","lifeStage","reproductiveCondition","caste","behavior","vitality","establishmentMeans","degreeOfEstablishment","pathway","georeferenceVerificationStatus","occurrenceStatus","preparations","disposition","associatedOccurrences","associatedReferences","associatedSequences","associatedTaxa","otherCatalogNumbers","occurrenceRemarks","organismID","organismName","organismScope","associatedOrganisms","previousIdentifications","organismRemarks","materialEntityID","materialEntityRemarks","verbatimLabel","materialSampleID","eventID","parentEventID","eventType","fieldNumber","eventDate","eventTime","startDayOfYear","endDayOfYear","year","month","day","verbatimEventDate","habitat","samplingProtocol","sampleSizeValue","sampleSizeUnit","samplingEffort","fieldNotes","eventRemarks","locationID","higherGeographyID","higherGeography","continent","waterBody","islandGroup","island","countryCode","stateProvince","county","municipality","locality","verbatimLocality","verbatimElevation","verticalDatum","verbatimDepth","minimumDistanceAboveSurfaceInMeters","maximumDistanceAboveSurfaceInMeters","locationAccordingTo","locationRemarks","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","pointRadiusSpatialFit","verbatimCoordinateSystem","verbatimSRS","footprintWKT","footprintSRS","footprintSpatialFit","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceSources","georeferenceRemarks","geologicalContextID","earliestEonOrLowestEonothem","latestEonOrHighestEonothem","earliestEraOrLowestErathem","latestEraOrHighestErathem","earliestPeriodOrLowestSystem","latestPeriodOrHighestSystem","earliestEpochOrLowestSeries","latestEpochOrHighestSeries","earliestAgeOrLowestStage","latestAgeOrHighestStage","lowestBiostratigraphicZone","highestBiostratigraphicZone","lithostratigraphicTerms","group","formation","member","bed","identificationID","verbatimIdentification","identificationQualifier","typeStatus","identifiedBy","identifiedByID","dateIdentified","identificationReferences","identificationVerificationStatus","identificationRemarks","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","order","superfamily","family","subfamily","tribe","subtribe","genus","genericName","subgenus","infragenericEpithet","specificEpithet","infraspecificEpithet","cultivarEpithet","taxonRank","verbatimTaxonRank","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","datasetKey","publishingCountry","lastInterpreted","elevation","elevationAccuracy","depth","depthAccuracy","distanceFromCentroidInMeters","issue","taxonomicIssue","nonTaxonomicIssue","mediaType","hasCoordinate","hasGeospatialIssues","taxonKey","acceptedTaxonKey","kingdomKey","phylumKey","classKey","orderKey","superfamilyKey","familyKey","subfamilyKey","tribeKey","subtribeKey","genusKey","subgenusKey","speciesKey","species","acceptedScientificName","verbatimScientificName","typifiedName","protocol","lastParsed","lastCrawled","isInvasive","repatriated","relativeOrganismQuantity","projectId","isSequenced","gbifRegion","publishedByGbifRegion","level0Gid","level0Name","level1Gid","level1Name","level2Gid","level2Name","level3Gid","level3Name","iucnRedListCategory"
"1",5909303128,"",NA,"","CC0_1_0",2025-11-28 21:22:08,NA,"https://www.inaturalist.org/observations/285781352","Anne Parker","","","","","iNaturalist","Observations","iNaturalist research-grade observations",NA,"HUMAN_OBSERVATION","","","","https://www.inaturalist.org/observations/285781352","285781352","","Anne Parker",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"","PRESENT","","",NA,NA,NA,"","","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-31T10:33:02","10:33:02-04:00",151,151,2025,5,31,"2025-05-31 10:33:02-04:00","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NORTH_AMERICA",NA,NA,NA,"US","Virginia","","","","Warsaw, VA, US","",NA,NA,NA,NA,"","",38.001239,-76.811828,4,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,641479050,NA,"",NA,"Anne Parker",NA,2025-05-31 22:55:59,"",NA,"",170103,NA,NA,NA,NA,NA,NA,NA,"Vaccinium formosum Andrews",NA,NA,NA,NA,NA,NA,"","Plantae","Tracheophyta","Magnoliopsida","Ericales",NA,"Ericaceae",NA,NA,NA,"Vaccinium","Vaccinium",NA,NA,"formosum",NA,NA,"SPECIES",NA,NA,NA,"SYNONYM",NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","US",2026-01-08 23:20:14.967,NA,NA,NA,NA,NA,"COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND",NA,NA,"StillImage",TRUE,FALSE,2882935,2882849,6,7707728,220,1353,NA,2505,NA,NA,NA,2882813,NA,2882849,"Vaccinium corymbosum","Vaccinium corymbosum L.","Vaccinium formosum",NA,"DWC_ARCHIVE",2026-01-08 23:20:14.967,2026-01-08 02:05:14.848,NA,FALSE,NA,"",FALSE,"NORTH_AMERICA","NORTH_AMERICA","USA","United States","USA.47_1","Virginia","USA.47.106_1","Richmond",NA,NA,NA
"2",5104270211,"",NA,"","CC_BY_NC_4_0",2025-03-26 05:53:28,NA,"https://www.inaturalist.org/observations/206503844","wanderingeden","","","","","iNaturalist","Observations","iNaturalist research-grade observations",NA,"HUMAN_OBSERVATION","","","","https://www.inaturalist.org/observations/206503844","206503844","","wanderingeden",NA,NA,NA,NA,NA,"","flowers|flower buds",NA,NA,NA,NA,NA,NA,"","PRESENT","","",NA,NA,NA,"","","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-04-07T12:28:16","12:28:16-04:00",98,98,2024,4,7,"2024-04-07 12:28:16","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NORTH_AMERICA",NA,NA,NA,"US","Virginia","","","","North Virginia Beach, Virginia Beach, VA, USA","",NA,NA,NA,NA,"","",36.913921,-76.039484,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,605279543,NA,"",NA,"Dean Firth",NA,2025-03-26 01:03:51,"",NA,"",170103,NA,NA,NA,NA,NA,NA,NA,"Vaccinium formosum Andrews",NA,NA,NA,NA,NA,NA,"","Plantae","Tracheophyta","Magnoliopsida","Ericales",NA,"Ericaceae",NA,NA,NA,"Vaccinium","Vaccinium",NA,NA,"formosum",NA,NA,"SPECIES",NA,NA,NA,"SYNONYM",NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","US",2026-01-08 21:04:49.414,NA,NA,NA,NA,NA,"COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND",NA,NA,"StillImage",TRUE,FALSE,2882935,2882849,6,7707728,220,1353,NA,2505,NA,NA,NA,2882813,NA,2882849,"Vaccinium corymbosum","Vaccinium corymbosum L.","Vaccinium formosum",NA,"DWC_ARCHIVE",2026-01-08 21:04:49.414,2026-01-08 02:05:14.848,NA,FALSE,NA,"",FALSE,"NORTH_AMERICA","NORTH_AMERICA","USA","United States","USA.47_1","Virginia","USA.47.124_1","Virginia Beach",NA,NA,NA
"3",5104261210,"",NA,"","CC_BY_NC_4_0",2025-03-26 05:52:49,NA,"https://www.inaturalist.org/observations/206824712","wanderingeden","","","","","iNaturalist","Observations","iNaturalist research-grade observations",NA,"HUMAN_OBSERVATION","","","","https://www.inaturalist.org/observations/206824712","206824712","","wanderingeden",NA,NA,NA,NA,NA,"","flowers|flower buds",NA,NA,NA,NA,NA,NA,"","PRESENT","","",NA,NA,NA,"","","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-04-07T11:45","11:45:00-04:00",98,98,2024,4,7,"2024/04/07 11:45 AM","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NORTH_AMERICA",NA,NA,NA,"US","Virginia","","","","North Virginia Beach, Virginia Beach, VA, USA","",NA,NA,NA,NA,"","",36.914318,-76.038973,99,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,605279298,NA,"",NA,"Dean Firth",NA,2025-03-26 01:02:51,"",NA,"",170103,NA,NA,NA,NA,NA,NA,NA,"Vaccinium formosum Andrews",NA,NA,NA,NA,NA,NA,"","Plantae","Tracheophyta","Magnoliopsida","Ericales",NA,"Ericaceae",NA,NA,NA,"Vaccinium","Vaccinium",NA,NA,"formosum",NA,NA,"SPECIES",NA,NA,NA,"SYNONYM",NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","US",2026-01-08 21:07:07.458,NA,NA,NA,NA,NA,"COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND",NA,NA,"StillImage",TRUE,FALSE,2882935,2882849,6,7707728,220,1353,NA,2505,NA,NA,NA,2882813,NA,2882849,"Vaccinium corymbosum","Vaccinium corymbosum L.","Vaccinium formosum",NA,"DWC_ARCHIVE",2026-01-08 21:07:07.458,2026-01-08 02:05:14.848,NA,FALSE,NA,"",FALSE,"NORTH_AMERICA","NORTH_AMERICA","USA","United States","USA.47_1","Virginia","USA.47.124_1","Virginia Beach",NA,NA,NA
"4",5104258277,"",NA,"","CC_BY_NC_4_0",2025-03-26 05:52:42,NA,"https://www.inaturalist.org/observations/206825247","wanderingeden","","","","","iNaturalist","Observations","iNaturalist research-grade observations",NA,"HUMAN_OBSERVATION","","","","https://www.inaturalist.org/observations/206825247","206825247","","wanderingeden",NA,NA,NA,NA,NA,"","flowers|flower buds",NA,NA,NA,NA,NA,NA,"","PRESENT","","",NA,NA,NA,"","","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-04-07T12:44","12:44:00-04:00",98,98,2024,4,7,"2024/04/07 12:44 PM","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NORTH_AMERICA",NA,NA,NA,"US","Virginia","","","","North Virginia Beach, Virginia Beach, VA, USA","",NA,NA,NA,NA,"","",36.914347,-76.038585,74,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,605279195,NA,"",NA,"Dean Firth",NA,2025-03-26 01:02:29,"",NA,"",170103,NA,NA,NA,NA,NA,NA,NA,"Vaccinium formosum Andrews",NA,NA,NA,NA,NA,NA,"","Plantae","Tracheophyta","Magnoliopsida","Ericales",NA,"Ericaceae",NA,NA,NA,"Vaccinium","Vaccinium",NA,NA,"formosum",NA,NA,"SPECIES",NA,NA,NA,"SYNONYM",NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","US",2026-01-08 23:04:26.106,NA,NA,NA,NA,NA,"COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND",NA,NA,"StillImage",TRUE,FALSE,2882935,2882849,6,7707728,220,1353,NA,2505,NA,NA,NA,2882813,NA,2882849,"Vaccinium corymbosum","Vaccinium corymbosum L.","Vaccinium formosum",NA,"DWC_ARCHIVE",2026-01-08 23:04:26.106,2026-01-08 02:05:14.848,NA,FALSE,NA,"",FALSE,"NORTH_AMERICA","NORTH_AMERICA","USA","United States","USA.47_1","Virginia","USA.47.124_1","Virginia Beach",NA,NA,NA
"5",5103889164,"not-for-profit use only",NA,"","CC_BY_NC_4_0",2025-04-23 02:12:04,NA,"https://sernecportal.org/portal/collections/individual/index.php?occid=33220376","William & Mary","","","fac1991c-2f4f-4430-bf18-87d5fcd92d40","","WILLI","","",NA,"PRESERVED_SPECIMEN","","","","88dc7a31-d03d-41a9-9e08-6c558631a721","84647","199","Weldy, Troy",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"","PRESENT","","",NA,NA,NA,"","","3' tall. Flower white.",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1994-04-19","",109,109,1994,4,19,"","Common shrub in wet ditch with Smilax along roadside bordered by Virginia pine.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NORTH_AMERICA",NA,NA,NA,"US","Virginia","Lancaster","","jct. of Rts. 628 & 626, near Towles Point","","",NA,NA,NA,NA,"","",37.665524,-76.525809,1298,NA,NA,NA,NA,NA,NA,NA,"LauraPainter (2022-07-19 11:08:46)",NA,"CCH2","georef batch tool 2022-07-19; GeoLocate","RT 626 and Rt 628 do not meet, centered at Rt 627 jct 628 includes 627 jct 626",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"Fritsch, Peter W/BRIT",NA,2023-04-05,"",NA,"",104556,NA,NA,NA,NA,NA,NA,NA,"Vaccinium formosum Andrews",NA,NA,NA,NA,NA,NA,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Asterids|Ericales|Ericaceae|Vaccinium","Plantae","Tracheophyta","Magnoliopsida","Ericales",NA,"Ericaceae",NA,NA,NA,"Vaccinium","Vaccinium",NA,NA,"formosum",NA,NA,"SPECIES",NA,NA,NA,"SYNONYM",NA,NA,"07afc988-ad0b-4664-890e-96ac643ffbc7","US",2026-02-02 22:52:07.009,NA,NA,NA,NA,NA,"CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;TAXON_ID_NOT_FOUND",NA,NA,"StillImage",TRUE,FALSE,2882935,2882849,6,7707728,220,1353,NA,2505,NA,NA,NA,2882813,NA,2882849,"Vaccinium corymbosum","Vaccinium corymbosum L.","Vaccinium formosum",NA,"DWC_ARCHIVE",2026-02-02 22:52:07.009,2026-02-02 22:18:56.555,NA,FALSE,NA,"",FALSE,"NORTH_AMERICA","NORTH_AMERICA","USA","United States","USA.47_1","Virginia","USA.47.69_1","Lancaster",NA,NA,NA
"6",5103825460,"not-for-profit use only",NA,"","CC_BY_NC_4_0",2025-04-23 02:12:04,NA,"https://sernecportal.org/portal/collections/individual/index.php?occid=28559517","William & Mary","","","fac1991c-2f4f-4430-bf18-87d5fcd92d40","","WILLI","","",NA,"PRESERVED_SPECIMEN","","","","d9e20fa6-636f-45c2-86df-29bbfdea4bbc","49791","96","Fernald, M L",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"","PRESENT","","",NA,NA,NA,"","","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1939-04-02","",92,92,1939,4,2,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NORTH_AMERICA",NA,NA,NA,"US","Virginia","Newport News City","","About 6 miles northeast of Newport News, Route 17.","","",NA,NA,NA,NA,"","County as Warwick County, which became the City of Newport News on July 16, 1952",37.149657,-76.458797,1554,NA,NA,NA,NA,NA,NA,NA,"Beth Chambers/WILLI 2023-01-04",NA,"CCH2","GeoLocate","Distance measured along road; radius halfway to Dare per 1949 Richmond Quad USGS map",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"=",NA,"Ware, Donna M E",NA,1996-12-12,"",NA,"",104556,NA,NA,NA,NA,NA,NA,NA,"Vaccinium formosum Andrews",NA,NA,NA,NA,NA,NA,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Asterids|Ericales|Ericaceae|Vaccinium","Plantae","Tracheophyta","Magnoliopsida","Ericales",NA,"Ericaceae",NA,NA,NA,"Vaccinium","Vaccinium",NA,NA,"formosum",NA,NA,"SPECIES",NA,NA,NA,"SYNONYM",NA,NA,"07afc988-ad0b-4664-890e-96ac643ffbc7","US",2026-02-02 22:52:05.175,NA,NA,NA,NA,NA,"CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;TAXON_ID_NOT_FOUND",NA,NA,"StillImage",TRUE,FALSE,2882935,2882849,6,7707728,220,1353,NA,2505,NA,NA,NA,2882813,NA,2882849,"Vaccinium corymbosum","Vaccinium corymbosum L.","Vaccinium formosum",NA,"DWC_ARCHIVE",2026-02-02 22:52:05.175,2026-02-02 22:18:56.555,NA,FALSE,NA,"",FALSE,"NORTH_AMERICA","NORTH_AMERICA","USA","United States","USA.47_1","Virginia","USA.47.133_1","York",NA,NA,NA
"7",5070862687,"",NA,"","CC0_1_0",2025-06-28 00:20:08,NA,"https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=17001992","","","","f08f07c6-fb9a-4b6b-b008-732821e604e3","","MARY","","",NA,"PRESERVED_SPECIMEN","","","","737de97b-2ccd-4285-9e80-5e622f273954","MARY1036505","9270","Karen Miles; S. R. Hill",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"reviewed - high confidence","PRESENT","","",NA,NA,NA,"","","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1980-06-26","",178,178,1980,6,26,"June 26, 1980","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NORTH_AMERICA",NA,NA,NA,"US","Maryland","Charles","","Douglas Point, open field near Blubaugh house.","","",NA,NA,NA,NA,"","",38.444755,-77.256084,825,NA,NA,NA,NA,NA,NA,NA,"jhall (2019-10-20 19:09:01)",NA,"","georef batch tool 2019-10-20; GeoLocate","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,"",NA,"",104539,NA,NA,NA,NA,NA,NA,NA,"Vaccinium australe Small",NA,NA,NA,NA,NA,NA,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Asterids|Ericales|Ericaceae|Vaccinium","Plantae","Tracheophyta","Magnoliopsida","Ericales",NA,"Ericaceae",NA,NA,NA,"Vaccinium","Vaccinium",NA,NA,"australe",NA,NA,"SPECIES",NA,NA,NA,"SYNONYM",NA,NA,"877b8fd1-9391-4526-a5e0-f483a5565524","US",2026-02-02 22:38:01.078,NA,NA,NA,NA,NA,"GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;TAXON_ID_NOT_FOUND",NA,NA,"StillImage",TRUE,FALSE,2882936,2882849,6,7707728,220,1353,NA,2505,NA,NA,NA,2882813,NA,2882849,"Vaccinium corymbosum","Vaccinium corymbosum L.","Vaccinium australe",NA,"DWC_ARCHIVE",2026-02-02 22:38:01.078,2026-02-02 21:45:05.725,NA,FALSE,NA,"",FALSE,"NORTH_AMERICA","NORTH_AMERICA","USA","United States","USA.21_1","Maryland","USA.21.8_1","Charles",NA,NA,NA
"8",5070836923,"",NA,"","CC0_1_0",2025-04-23 02:12:04,NA,"https://sernecportal.org/portal/collections/individual/index.php?occid=16878537","","","","28ec8153-7aff-4071-8ea4-7ec29c6e40b9","","WEWO","","",NA,"PRESERVED_SPECIMEN","","","","822a0f37-9c00-4f56-a4ce-f39339438941","WEWO0001725","59085","Ahles, Harry E.",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"reviewed - high confidence","PRESENT","","",NA,NA,NA,"","0053","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1965-05-08","",128,128,1965,5,8,"","swampy woods",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NORTH_AMERICA",NA,NA,NA,"US","North Carolina","Moore","Weymouth Woods Sandhills Nature Preserve","PLANTS OF WEYMOUTH WOODS STATE PARK","","",NA,NA,NA,NA,"","",35.153836,-79.367534,1424,NA,NA,NA,NA,NA,NA,NA,"CarolAnnMcCormick (2018-02-12 07:45:10)",NA,"","georef batch tool 2018-02-12; GeoLocate","polygon = main part of Weymouth Woods Sandhills Nature Preserve",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"Sorrie, B. A.",NA,NA,"",NA,"",104556,NA,NA,NA,NA,NA,NA,NA,"Vaccinium formosum Andrews",NA,NA,NA,NA,NA,NA,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Asterids|Ericales|Ericaceae|Vaccinium","Plantae","Tracheophyta","Magnoliopsida","Ericales",NA,"Ericaceae",NA,NA,NA,"Vaccinium","Vaccinium",NA,NA,"formosum",NA,NA,"SPECIES",NA,NA,NA,"SYNONYM",NA,NA,"0c34fdf3-0864-47c4-b518-8841fba226f8","US",2026-02-02 22:18:32.52,NA,NA,NA,NA,NA,"GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;IDENTIFIED_DATE_INVALID;INSTITUTION_MATCH_FUZZY;TAXON_ID_NOT_FOUND",NA,NA,"StillImage",TRUE,FALSE,2882935,2882849,6,7707728,220,1353,NA,2505,NA,NA,NA,2882813,NA,2882849,"Vaccinium corymbosum","Vaccinium corymbosum L.","Vaccinium formosum",NA,"DWC_ARCHIVE",2026-02-02 22:18:32.52,2026-02-02 22:18:27.628,NA,FALSE,NA,"",FALSE,"NORTH_AMERICA","NORTH_AMERICA","USA","United States","USA.34_1","North Carolina","USA.34.63_1","Moore",NA,NA,NA
"9",5070836917,"",NA,"","CC0_1_0",2025-04-23 02:12:04,NA,"https://sernecportal.org/portal/collections/individual/index.php?occid=16878539","","","","28ec8153-7aff-4071-8ea4-7ec29c6e40b9","","WEWO","","",NA,"PRESERVED_SPECIMEN","","","","0235c2a2-631c-4478-9dd2-17f34250fc4a","WEWO0001723","59629","Ahles, Harry E.",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"reviewed - high confidence","PRESENT","","",NA,NA,NA,"","0275","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1965-06-13","",164,164,1965,6,13,"","sandy pine-oak woods",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NORTH_AMERICA",NA,NA,NA,"US","North Carolina","Moore","Weymouth Woods Sandhills Nature Preserve","PLANTS OF WEYMOUTH WOODS STATE PARK","","",NA,NA,NA,NA,"","",35.153836,-79.367534,1424,NA,NA,NA,NA,NA,NA,NA,"CarolAnnMcCormick (2018-02-12 07:45:10)",NA,"","georef batch tool 2018-02-12; GeoLocate","polygon = main part of Weymouth Woods Sandhills Nature Preserve",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"Sorrie, B. A.",NA,NA,"",NA,"",104556,NA,NA,NA,NA,NA,NA,NA,"Vaccinium formosum Andrews",NA,NA,NA,NA,NA,NA,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Asterids|Ericales|Ericaceae|Vaccinium","Plantae","Tracheophyta","Magnoliopsida","Ericales",NA,"Ericaceae",NA,NA,NA,"Vaccinium","Vaccinium",NA,NA,"formosum",NA,NA,"SPECIES",NA,NA,NA,"SYNONYM",NA,NA,"0c34fdf3-0864-47c4-b518-8841fba226f8","US",2026-02-02 22:18:32.518,NA,NA,NA,NA,NA,"GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;IDENTIFIED_DATE_INVALID;INSTITUTION_MATCH_FUZZY;TAXON_ID_NOT_FOUND",NA,NA,"StillImage",TRUE,FALSE,2882935,2882849,6,7707728,220,1353,NA,2505,NA,NA,NA,2882813,NA,2882849,"Vaccinium corymbosum","Vaccinium corymbosum L.","Vaccinium formosum",NA,"DWC_ARCHIVE",2026-02-02 22:18:32.518,2026-02-02 22:18:27.628,NA,FALSE,NA,"",FALSE,"NORTH_AMERICA","NORTH_AMERICA","USA","United States","USA.34_1","North Carolina","USA.34.63_1","Moore",NA,NA,NA
"10",5070836915,"",NA,"","CC0_1_0",2025-04-23 02:12:04,NA,"https://sernecportal.org/portal/collections/individual/index.php?occid=16878538","","","","28ec8153-7aff-4071-8ea4-7ec29c6e40b9","","WEWO","","",NA,"PRESERVED_SPECIMEN","","","","778b08ca-ca26-43a8-a663-7aa7d15872c4","WEWO0001724","59098","Ahles, Harry E.",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"reviewed - high confidence","PRESENT","","",NA,NA,NA,"","0067","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1965-05-08","",128,128,1965,5,8,"","upland woods",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NORTH_AMERICA",NA,NA,NA,"US","North Carolina","Moore","Weymouth Woods Sandhills Nature Preserve","PLANTS OF WEYMOUTH WOODS STATE PARK","","",NA,NA,NA,NA,"","",35.153836,-79.367534,1424,NA,NA,NA,NA,NA,NA,NA,"CarolAnnMcCormick (2018-02-12 07:45:10)",NA,"","georef batch tool 2018-02-12; GeoLocate","polygon = main part of Weymouth Woods Sandhills Nature Preserve",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"Sorrie, B. A.",NA,NA,"",NA,"",104556,NA,NA,NA,NA,NA,NA,NA,"Vaccinium formosum Andrews",NA,NA,NA,NA,NA,NA,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Asterids|Ericales|Ericaceae|Vaccinium","Plantae","Tracheophyta","Magnoliopsida","Ericales",NA,"Ericaceae",NA,NA,NA,"Vaccinium","Vaccinium",NA,NA,"formosum",NA,NA,"SPECIES",NA,NA,NA,"SYNONYM",NA,NA,"0c34fdf3-0864-47c4-b518-8841fba226f8","US",2026-02-02 22:18:32.518,NA,NA,NA,NA,NA,"GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;IDENTIFIED_DATE_INVALID;INSTITUTION_MATCH_FUZZY;TAXON_ID_NOT_FOUND",NA,NA,"StillImage",TRUE,FALSE,2882935,2882849,6,7707728,220,1353,NA,2505,NA,NA,NA,2882813,NA,2882849,"Vaccinium corymbosum","Vaccinium corymbosum L.","Vaccinium formosum",NA,"DWC_ARCHIVE",2026-02-02 22:18:32.518,2026-02-02 22:18:27.628,NA,FALSE,NA,"",FALSE,"NORTH_AMERICA","NORTH_AMERICA","USA","United States","USA.34_1","North Carolina","USA.34.63_1","Moore",NA,NA,NA
