gbifID,accessRights,bibliographicCitation,language,license,modified,publisher,references,rightsHolder,type,institutionID,collectionID,datasetID,institutionCode,collectionCode,datasetName,ownerInstitutionCode,basisOfRecord,informationWithheld,dataGeneralizations,dynamicProperties,occurrenceID,catalogNumber,recordNumber,recordedBy,recordedByID,individualCount,organismQuantity,organismQuantityType,sex,lifeStage,reproductiveCondition,caste,behavior,vitality,establishmentMeans,degreeOfEstablishment,pathway,georeferenceVerificationStatus,occurrenceStatus,preparations,disposition,associatedOccurrences,associatedReferences,associatedSequences,associatedTaxa,otherCatalogNumbers,occurrenceRemarks,organismID,organismName,organismScope,associatedOrganisms,previousIdentifications,organismRemarks,materialEntityID,materialEntityRemarks,verbatimLabel,materialSampleID,eventID,parentEventID,eventType,fieldNumber,eventDate,eventTime,startDayOfYear,endDayOfYear,year,month,day,verbatimEventDate,habitat,samplingProtocol,sampleSizeValue,sampleSizeUnit,samplingEffort,fieldNotes,eventRemarks,locationID,higherGeographyID,higherGeography,continent,waterBody,islandGroup,island,countryCode,stateProvince,county,municipality,locality,verbatimLocality,verbatimElevation,verticalDatum,verbatimDepth,minimumDistanceAboveSurfaceInMeters,maximumDistanceAboveSurfaceInMeters,locationAccordingTo,locationRemarks,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,pointRadiusSpatialFit,verbatimCoordinateSystem,verbatimSRS,footprintWKT,footprintSRS,footprintSpatialFit,georeferencedBy,georeferencedDate,georeferenceProtocol,georeferenceSources,georeferenceRemarks,geologicalContextID,earliestEonOrLowestEonothem,latestEonOrHighestEonothem,earliestEraOrLowestErathem,latestEraOrHighestErathem,earliestPeriodOrLowestSystem,latestPeriodOrHighestSystem,earliestEpochOrLowestSeries,latestEpochOrHighestSeries,earliestAgeOrLowestStage,latestAgeOrHighestStage,lowestBiostratigraphicZone,highestBiostratigraphicZone,lithostratigraphicTerms,group,formation,member,bed,identificationID,verbatimIdentification,identificationQualifier,typeStatus,identifiedBy,identifiedByID,dateIdentified,identificationReferences,identificationVerificationStatus,identificationRemarks,taxonID,scientificNameID,acceptedNameUsageID,parentNameUsageID,originalNameUsageID,nameAccordingToID,namePublishedInID,taxonConceptID,scientificName,acceptedNameUsage,parentNameUsage,originalNameUsage,nameAccordingTo,namePublishedIn,namePublishedInYear,higherClassification,kingdom,phylum,class,order,superfamily,family,subfamily,tribe,subtribe,genus,genericName,subgenus,infragenericEpithet,specificEpithet,infraspecificEpithet,cultivarEpithet,taxonRank,verbatimTaxonRank,vernacularName,nomenclaturalCode,taxonomicStatus,nomenclaturalStatus,taxonRemarks,datasetKey,publishingCountry,lastInterpreted,elevation,elevationAccuracy,depth,depthAccuracy,distanceFromCentroidInMeters,issue,mediaType,hasCoordinate,hasGeospatialIssues,taxonKey,acceptedTaxonKey,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,subgenusKey,speciesKey,species,acceptedScientificName,verbatimScientificName,typifiedName,protocol,lastParsed,lastCrawled,repatriated,relativeOrganismQuantity,projectId,isSequenced,gbifRegion,publishedByGbifRegion,level0Gid,level0Name,level1Gid,level1Name,level2Gid,level2Name,level3Gid,level3Name,iucnRedListCategory
668768624,,Vaccinium boreale Hall & Aalders (QFA0588861),fr|en,CC0_1_0,,,,Université Laval,PhysicalObject,2fd02649-fc08-4957-9ac5-2830e072c097,urn:lsid:biocol.org:col:15846,http://dataset.canadensys.net/qfa-vascular-specimens,Université Laval,QFA,Herbier Louis-Marie (QFA) - Collection de plantes vasculaires,Université Laval,PRESERVED_SPECIMEN,,,,QFA0588861,QFA0588861,nd,"Grondin, Pierre; Melançon, Michel ; Couillard, Line",,,,,,,,,,,,,,,PRESENT,mounted,,,,,,,"Spécimen séparé de QFA 0222443.Pour de plus amples renseignements,   consulter: Grondin, P. et Melançon, M. 1978. Étude phyto-écologique de la Grosse île au Marteau et de l'île à Samuel, archipel de Mingan, Québec. Univ. Laval, Fac. for. géod., Québec, 263 p. (thèse de maîtrise)",,,,,,,,,,,,,,,1977-08-20,,232,232,1977,8,20,20 août 1977,"Sous-sol: calcaire. Dépôt de surface: plage. Sol: régosol. Drainage: 3Humus: mor   pH: 4,5Abondance-dominance: 3.3Strate: hbUnité physionomique: lande. Groupement à JEmpetro nigri- Cladinetum stellaris",,,,,,,,,,NORTH_AMERICA,,,,CA,Québec,,,"Ile à Samuel- Archipel de Mingan, Comté de Duplessis.",,,,,,,,,50.211944,-63.749167,,,,degrés minutes secondes,unknown,,,,,,,Toponymie du Québec,,,,,,,,,,,,,,,,,,,,,,,,"Gauthier, Robert",,2007-01-01 0:00,,,,https://data.canadensys.net/vascan/taxon/5567,,,,,,,,Vaccinium boreale I.V.Hall & Aalders,Vaccinium boreale I.V. Hall & Aalders,,,,,,,Plantae,Tracheophyta,Magnoliopsida,Ericales,,Ericaceae,,,,Vaccinium,Vaccinium,,,boreale,,,SPECIES,,northern blueberry,ICBN,ACCEPTED,,,2fd02649-fc08-4957-9ac5-2830e072c097,CA,2024-01-29 4:48,,,,,,GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_TAXON_ID_IGNORED;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,,TRUE,FALSE,8147903,8147903,6,7707728,220,1353,2505,2882813,,8147903,Vaccinium boreale,Vaccinium boreale I.V.Hall & Aalders,Vaccinium boreale Hall & Aalders,,EML,2024-01-29 4:48,2024-01-26 15:13,FALSE,,,FALSE,NORTH_AMERICA,NORTH_AMERICA,CAN,Canada,CAN.11_1,Québec,CAN.11.79_1,Minganie--Basse-Côte-Nord,CAN.11.79.7_1,Havre-Saint-Pierre,NE
668768613,,Vaccinium boreale Hall & Aalders (QFA0314849),fr|en,CC0_1_0,,,,Université Laval,PhysicalObject,2fd02649-fc08-4957-9ac5-2830e072c097,urn:lsid:biocol.org:col:15846,http://dataset.canadensys.net/qfa-vascular-specimens,Université Laval,QFA,Herbier Louis-Marie (QFA) - Collection de plantes vasculaires,Université Laval,PRESERVED_SPECIMEN,,,,QFA0314849,QFA0314849,78-019-P-1,"Bizier, Gisèle",,,,,,,,,,,,,,,PRESENT,mounted,,,,,,,,,,,,,,,,,,,,,,1978-08-07,,219,219,1978,8,7,07 août 1978,"Type physionomique: FØ/EN,SB/D3/M; Type écologique: TD2; pessière noire à sapin et mousses.",,,,,,,,,,NORTH_AMERICA,,,,CA,Québec,,,"Comté de Saguenay, Lac Duboys",,"579,09 m",,,,,,,51.766667,-63.2,,,,degrés minutes secondes,unknown,,,,,,,Coordonnées sur étiquette,,,,,,,,,,,,,,,,,,,,,,,,"Gauthier, Robert",,2007-01-01 0:00,,,,https://data.canadensys.net/vascan/taxon/5567,,,,,,,,Vaccinium boreale I.V.Hall & Aalders,Vaccinium boreale I.V. Hall & Aalders,,,,,,,Plantae,Tracheophyta,Magnoliopsida,Ericales,,Ericaceae,,,,Vaccinium,Vaccinium,,,boreale,,,SPECIES,,northern blueberry,ICBN,ACCEPTED,,,2fd02649-fc08-4957-9ac5-2830e072c097,CA,2024-01-29 4:48,579.09,0,,,,GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_TAXON_ID_IGNORED;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,,TRUE,FALSE,8147903,8147903,6,7707728,220,1353,2505,2882813,,8147903,Vaccinium boreale,Vaccinium boreale I.V.Hall & Aalders,Vaccinium boreale Hall & Aalders,,EML,2024-01-29 4:48,2024-01-26 15:13,FALSE,,,FALSE,NORTH_AMERICA,NORTH_AMERICA,CAN,Canada,CAN.11_1,Québec,CAN.11.79_1,Minganie--Basse-Côte-Nord,CAN.11.79.10_1,Lac-Jérôme,NE
668768612,,Vaccinium boreale Hall & Aalders (QFA0265883),fr|en,CC0_1_0,,,,Université Laval,PhysicalObject,2fd02649-fc08-4957-9ac5-2830e072c097,urn:lsid:biocol.org:col:15846,http://dataset.canadensys.net/qfa-vascular-specimens,Université Laval,QFA,Herbier Louis-Marie (QFA) - Collection de plantes vasculaires,Université Laval,PRESERVED_SPECIMEN,,,,QFA0265883,QFA0265883,"41,326","Dutilly, Arthème",,,,,,,,,,,,,,,PRESENT,mounted,,,,,,,"Séparé de 41,041 (265884) LAB",,,,,,,,,,,,,,,1963-08-14,,226,226,1963,8,14,14 août 1963,Coteau sec dans un brûlé.,,,,,,,,,,NORTH_AMERICA,,,,CA,Québec,,,"Bassin de la rivière Romaine, petite rivière romaine, coteau sec dans un brûlé",,,,,,,,,51.35,-63.783333,,,,degrés minutes secondes,unknown,,,,,,,Coordonnées sur étiquette,,,,,,,,,,,,,,,,,,,,,,,,"Gauthier, Robert",,2007-01-01 0:00,,,,https://data.canadensys.net/vascan/taxon/5567,,,,,,,,Vaccinium boreale I.V.Hall & Aalders,Vaccinium boreale I.V. Hall & Aalders,,,,,,,Plantae,Tracheophyta,Magnoliopsida,Ericales,,Ericaceae,,,,Vaccinium,Vaccinium,,,boreale,,,SPECIES,,northern blueberry,ICBN,ACCEPTED,,,2fd02649-fc08-4957-9ac5-2830e072c097,CA,2024-01-29 4:48,,,,,,GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_TAXON_ID_IGNORED;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,,TRUE,FALSE,8147903,8147903,6,7707728,220,1353,2505,2882813,,8147903,Vaccinium boreale,Vaccinium boreale I.V.Hall & Aalders,Vaccinium boreale Hall & Aalders,,EML,2024-01-29 4:48,2024-01-26 15:13,FALSE,,,FALSE,NORTH_AMERICA,NORTH_AMERICA,CAN,Canada,CAN.11_1,Québec,CAN.11.79_1,Minganie--Basse-Côte-Nord,CAN.11.79.10_1,Lac-Jérôme,NE
668768611,,Vaccinium boreale Hall & Aalders (QFA0415442),fr|en,CC0_1_0,,,,Université Laval,PhysicalObject,2fd02649-fc08-4957-9ac5-2830e072c097,urn:lsid:biocol.org:col:15846,http://dataset.canadensys.net/qfa-vascular-specimens,Université Laval,QFA,Herbier Louis-Marie (QFA) - Collection de plantes vasculaires,Université Laval,PRESERVED_SPECIMEN,,,,QFA0415442,QFA0415442,9716-V1,"Grandtner, Miroslav M.; Marcotte, Francine ; Roy, G.",,,,,,,,,,,,,,,PRESENT,mounted,,,,,,,,,,,,,,,,,,,,,,1979-07-23,,204,204,1979,7,23,23 juillet 1979,Exposition: E; Pente: 17%; Roche-mère: dépôt de plage; Sol: organique fibrique; Humidité: 3-4; Groupement: Ledo groenlandici - Empetrum nigri myricetosum galis; Strate: ab +.1,,,,,,,,,,NORTH_AMERICA,,,,CA,Québec,,,"Comté de Duplessis, Archipel de Mingan, Petite île au Marteau",,14 m,,,,,,,50.209444,-63.558056,,,,degrés minutes secondes,unknown,,,,,,,Toponymie du Québec,,,,,,,,,,,,,,,,,,,,,,,,"Gauthier, Robert",,2007-01-01 0:00,,,,https://data.canadensys.net/vascan/taxon/5567,,,,,,,,Vaccinium boreale I.V.Hall & Aalders,Vaccinium boreale I.V. Hall & Aalders,,,,,,,Plantae,Tracheophyta,Magnoliopsida,Ericales,,Ericaceae,,,,Vaccinium,Vaccinium,,,boreale,,,SPECIES,,northern blueberry,ICBN,ACCEPTED,,,2fd02649-fc08-4957-9ac5-2830e072c097,CA,2024-01-29 4:48,14,0,,,,GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_TAXON_ID_IGNORED;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,,TRUE,FALSE,8147903,8147903,6,7707728,220,1353,2505,2882813,,8147903,Vaccinium boreale,Vaccinium boreale I.V.Hall & Aalders,Vaccinium boreale Hall & Aalders,,EML,2024-01-29 4:48,2024-01-26 15:13,FALSE,,,FALSE,NORTH_AMERICA,NORTH_AMERICA,CAN,Canada,CAN.11_1,Québec,CAN.11.79_1,Minganie--Basse-Côte-Nord,CAN.11.79.7_1,Havre-Saint-Pierre,NE
668768610,,Vaccinium boreale Hall & Aalders (QFA0415444),fr|en,CC0_1_0,,,,Université Laval,PhysicalObject,2fd02649-fc08-4957-9ac5-2830e072c097,urn:lsid:biocol.org:col:15846,http://dataset.canadensys.net/qfa-vascular-specimens,Université Laval,QFA,Herbier Louis-Marie (QFA) - Collection de plantes vasculaires,Université Laval,PRESERVED_SPECIMEN,,,,QFA0415444,QFA0415444,8029-V2,"Marcotte, Francine; Lutzoni, François ; Gagné, Eugène",,,,,,,,,,,,,,,PRESENT,mounted,,,,,,,,,,,,,,,,,,,,,,1980-07-01/1980-07-31,,183,213,1980,7,,01 juillet 1980 - 31 juillet 1980,"Exposition: N; Pente: 2%; Roche-mère: gravier calcaire; Sol: organique fibrique; Humidité: 3; Humus: mor; pH: s(HT) 4,5; Groupement: Abietetum balsameae hudsoniae; Strate: ab +.1",,,,,,,,,,NORTH_AMERICA,,,,CA,Québec,,,"Comté de Duplessis, Archipel de Mingan, Petite île au Marteau",,,,,,,,,50.209444,-63.558056,,,,degrés minutes secondes,unknown,,,,,,,Toponymie du Québec,,,,,,,,,,,,,,,,,,,,,,,,"Gauthier, Robert",,2007-01-01 0:00,,,,https://data.canadensys.net/vascan/taxon/5567,,,,,,,,Vaccinium boreale I.V.Hall & Aalders,Vaccinium boreale I.V. Hall & Aalders,,,,,,,Plantae,Tracheophyta,Magnoliopsida,Ericales,,Ericaceae,,,,Vaccinium,Vaccinium,,,boreale,,,SPECIES,,northern blueberry,ICBN,ACCEPTED,,,2fd02649-fc08-4957-9ac5-2830e072c097,CA,2024-01-29 4:48,,,,,,GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_TAXON_ID_IGNORED;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,,TRUE,FALSE,8147903,8147903,6,7707728,220,1353,2505,2882813,,8147903,Vaccinium boreale,Vaccinium boreale I.V.Hall & Aalders,Vaccinium boreale Hall & Aalders,,EML,2024-01-29 4:48,2024-01-26 15:13,FALSE,,,FALSE,NORTH_AMERICA,NORTH_AMERICA,CAN,Canada,CAN.11_1,Québec,CAN.11.79_1,Minganie--Basse-Côte-Nord,CAN.11.79.7_1,Havre-Saint-Pierre,NE
668768609,,Vaccinium boreale Hall & Aalders (QFA0450879),fr|en,CC0_1_0,,,,Université Laval,PhysicalObject,2fd02649-fc08-4957-9ac5-2830e072c097,urn:lsid:biocol.org:col:15846,http://dataset.canadensys.net/qfa-vascular-specimens,Université Laval,QFA,Herbier Louis-Marie (QFA) - Collection de plantes vasculaires,Université Laval,PRESERVED_SPECIMEN,,,,QFA0450879,QFA0450879,FER001,"Blondeau, Marcel",,,,,,,,,,,,,,,PRESENT,mounted,,,,,,,,,,,,,,,,,,,,,,2000-07-16,,198,198,2000,7,16,16 juillet 2000,"Parc du Rivage. Éclaircie d'une pessière noire. Aussi, dominant Betula glandulosa, Ledum groenlandicum, Vaccinium vitis-idaea.",,,,,,,,,,NORTH_AMERICA,,,,CA,Québec,,,"Côte-Nord, MRC Caniapiscau, Fermont, parc du rivage",,,,,,,,,52.798611,-65.088611,,,,UTM,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gauthier, Robert",,2007-01-01 0:00,,,,https://data.canadensys.net/vascan/taxon/5567,,,,,,,,Vaccinium boreale I.V.Hall & Aalders,Vaccinium boreale I.V. Hall & Aalders,,,,,,,Plantae,Tracheophyta,Magnoliopsida,Ericales,,Ericaceae,,,,Vaccinium,Vaccinium,,,boreale,,,SPECIES,,northern blueberry,ICBN,ACCEPTED,,,2fd02649-fc08-4957-9ac5-2830e072c097,CA,2024-01-29 4:48,,,,,,GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_TAXON_ID_IGNORED;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,,TRUE,FALSE,8147903,8147903,6,7707728,220,1353,2505,2882813,,8147903,Vaccinium boreale,Vaccinium boreale I.V.Hall & Aalders,Vaccinium boreale Hall & Aalders,,EML,2024-01-29 4:48,2024-01-26 15:13,FALSE,,,FALSE,NORTH_AMERICA,NORTH_AMERICA,CAN,Canada,CAN.5_1,Newfoundland and Labrador,CAN.5.1_1,Division No. 10,CAN.5.1.6_1,"Division No. 10, Subd. D",NE
668768608,,Vaccinium boreale Hall & Aalders (QFA0314846),fr|en,CC0_1_0,,,,Université Laval,PhysicalObject,2fd02649-fc08-4957-9ac5-2830e072c097,urn:lsid:biocol.org:col:15846,http://dataset.canadensys.net/qfa-vascular-specimens,Université Laval,QFA,Herbier Louis-Marie (QFA) - Collection de plantes vasculaires,Université Laval,PRESERVED_SPECIMEN,,,,QFA0314846,QFA0314846,78-050-O-1,"Bizier, Gisèle",,,,,,,,,,,,,,,PRESENT,mounted,,,,,,,,,,,,,,,,,,,,,,1978-08-03,,215,215,1978,8,3,03 août 1978,"Type physionomique: AB/KA/B6/E,L; Type écologique: TM1; lande à Kalmia angustifolia, avec Rhodendron et Cladina stellaris.",,,,,,,,,,NORTH_AMERICA,,,,CA,Québec,,,"Comté de Saguenay, environ 5 km NO du Lac Michaud",,"182,87 m",,,,,,,50.566667,-62.2,,,,degrés minutes secondes,unknown,,,,,,,Coordonnées sur étiquette,,,,,,,,,,,,,,,,,,,,,,,,"Gauthier, Robert",,2007-01-01 0:00,,,,https://data.canadensys.net/vascan/taxon/5567,,,,,,,,Vaccinium boreale I.V.Hall & Aalders,Vaccinium boreale I.V. Hall & Aalders,,,,,,,Plantae,Tracheophyta,Magnoliopsida,Ericales,,Ericaceae,,,,Vaccinium,Vaccinium,,,boreale,,,SPECIES,,northern blueberry,ICBN,ACCEPTED,,,2fd02649-fc08-4957-9ac5-2830e072c097,CA,2024-01-29 4:48,182.87,0,,,,GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_TAXON_ID_IGNORED;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,,TRUE,FALSE,8147903,8147903,6,7707728,220,1353,2505,2882813,,8147903,Vaccinium boreale,Vaccinium boreale I.V.Hall & Aalders,Vaccinium boreale Hall & Aalders,,EML,2024-01-29 4:48,2024-01-26 15:13,FALSE,,,FALSE,NORTH_AMERICA,NORTH_AMERICA,CAN,Canada,CAN.11_1,Québec,CAN.11.79_1,Minganie--Basse-Côte-Nord,CAN.11.79.10_1,Lac-Jérôme,NE
668768607,,Vaccinium boreale Hall & Aalders (QFA0202181),fr|en,CC0_1_0,,,,Université Laval,PhysicalObject,2fd02649-fc08-4957-9ac5-2830e072c097,urn:lsid:biocol.org:col:15846,http://dataset.canadensys.net/qfa-vascular-specimens,Université Laval,QFA,Herbier Louis-Marie (QFA) - Collection de plantes vasculaires,Université Laval,PRESERVED_SPECIMEN,,,,QFA0202181,QFA0202181,C-6,"Roy, Claude",,,,,,,,,,,,,,,PRESENT,mounted,,,,,,,,,,,,,,,,,,,,,,1976-07-14,,196,196,1976,7,14,14 juillet 1976,Tourbière.,,,,,,,,,,NORTH_AMERICA,,,,CA,Québec,,,"Comté de Saguenay, Minganie, près de la route de sable à environ 7 milles à l'est de Havre Saint-Pierre",,,,,,,,,50.256944,-63.491667,,,,degrés minutes secondes,unknown,,,,,,,Coordonnées sur étiquette,,,,,,,,,,,,,,,,,,,,,,,,"Gauthier, Robert",,2007-01-01 0:00,,,,https://data.canadensys.net/vascan/taxon/5567,,,,,,,,Vaccinium boreale I.V.Hall & Aalders,Vaccinium boreale I.V. Hall & Aalders,,,,,,,Plantae,Tracheophyta,Magnoliopsida,Ericales,,Ericaceae,,,,Vaccinium,Vaccinium,,,boreale,,,SPECIES,,northern blueberry,ICBN,ACCEPTED,,,2fd02649-fc08-4957-9ac5-2830e072c097,CA,2024-01-29 4:48,,,,,,GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_TAXON_ID_IGNORED;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,,TRUE,FALSE,8147903,8147903,6,7707728,220,1353,2505,2882813,,8147903,Vaccinium boreale,Vaccinium boreale I.V.Hall & Aalders,Vaccinium boreale Hall & Aalders,,EML,2024-01-29 4:48,2024-01-26 15:13,FALSE,,,FALSE,NORTH_AMERICA,NORTH_AMERICA,CAN,Canada,CAN.11_1,Québec,CAN.11.79_1,Minganie--Basse-Côte-Nord,CAN.11.79.7_1,Havre-Saint-Pierre,NE
668768606,,Vaccinium boreale Hall & Aalders (QFA0329495),fr|en,CC0_1_0,,,,Université Laval,PhysicalObject,2fd02649-fc08-4957-9ac5-2830e072c097,urn:lsid:biocol.org:col:15846,http://dataset.canadensys.net/qfa-vascular-specimens,Université Laval,QFA,Herbier Louis-Marie (QFA) - Collection de plantes vasculaires,Université Laval,PRESERVED_SPECIMEN,,,,QFA0329495,QFA0329495,nd,"van Bochove, Éric",,,,,,,,,,,,,,,PRESENT,mounted,,,,,,,,,,,,,,,,,,,,,,1984-08-22,,235,235,1984,8,22,22 août 1984,"Tourbière. Ledum groenlandicum, Cornus canadensis, E,petrum nigrum, Caccinium vitis-idaea, Picea mariona.",,,,,,,,,,NORTH_AMERICA,,,,CA,Québec,,,"Basse Côte-Nord, Lourdes du Blanc Sablon, Lac au Bouleaux",,,,,,,,,51.451389,-57.1825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gauthier, Robert",,2007-01-01 0:00,,,,https://data.canadensys.net/vascan/taxon/5567,,,,,,,,Vaccinium boreale I.V.Hall & Aalders,Vaccinium boreale I.V. Hall & Aalders,,,,,,,Plantae,Tracheophyta,Magnoliopsida,Ericales,,Ericaceae,,,,Vaccinium,Vaccinium,,,boreale,,,SPECIES,,northern blueberry,ICBN,ACCEPTED,,,2fd02649-fc08-4957-9ac5-2830e072c097,CA,2024-01-29 4:48,,,,,,GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_TAXON_ID_IGNORED;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,,TRUE,FALSE,8147903,8147903,6,7707728,220,1353,2505,2882813,,8147903,Vaccinium boreale,Vaccinium boreale I.V.Hall & Aalders,Vaccinium boreale Hall & Aalders,,EML,2024-01-29 4:48,2024-01-26 15:13,FALSE,,,FALSE,NORTH_AMERICA,NORTH_AMERICA,CAN,Canada,CAN.11_1,Québec,CAN.11.79_1,Minganie--Basse-Côte-Nord,CAN.11.79.3_1,Blanc-Sablon,NE
668768604,,Vaccinium boreale Hall & Aalders (QFA0314841),fr|en,CC0_1_0,,,,Université Laval,PhysicalObject,2fd02649-fc08-4957-9ac5-2830e072c097,urn:lsid:biocol.org:col:15846,http://dataset.canadensys.net/qfa-vascular-specimens,Université Laval,QFA,Herbier Louis-Marie (QFA) - Collection de plantes vasculaires,Université Laval,PRESERVED_SPECIMEN,,,,QFA0314841,QFA0314841,78-169-O-4,"Gérardin, Vincent",,,,,,,,,,,,,,,PRESENT,mounted,,,,,,,,,,,,,,,,,,,,,,1978-08-07,,219,219,1978,8,7,07 août 1978,"Type physionomique: LB/EN/E4/L,E,A; Type écologique: FM1; lande  boisée dominée par Cladina mitis et Lecidea granulosa.",,,,,,,,,,NORTH_AMERICA,,,,CA,Québec,,,"Comté de Saguenay, Rivière Romaine",,"487,65 m",,,,,,,51.866667,-63.766667,,,,degrés minutes secondes,unknown,,,,,,,Coordonnées sur étiquette,,,,,,,,,,,,,,,,,,,,,,,,"Gauthier, Robert",,2007-01-01 0:00,,,,https://data.canadensys.net/vascan/taxon/5567,,,,,,,,Vaccinium boreale I.V.Hall & Aalders,Vaccinium boreale I.V. Hall & Aalders,,,,,,,Plantae,Tracheophyta,Magnoliopsida,Ericales,,Ericaceae,,,,Vaccinium,Vaccinium,,,boreale,,,SPECIES,,northern blueberry,ICBN,ACCEPTED,,,2fd02649-fc08-4957-9ac5-2830e072c097,CA,2024-01-29 4:48,487.65,0,,,,GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_TAXON_ID_IGNORED;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,,TRUE,FALSE,8147903,8147903,6,7707728,220,1353,2505,2882813,,8147903,Vaccinium boreale,Vaccinium boreale I.V.Hall & Aalders,Vaccinium boreale Hall & Aalders,,EML,2024-01-29 4:48,2024-01-26 15:13,FALSE,,,FALSE,NORTH_AMERICA,NORTH_AMERICA,CAN,Canada,CAN.11_1,Québec,CAN.11.79_1,Minganie--Basse-Côte-Nord,CAN.11.79.10_1,Lac-Jérôme,NE
