"","gbifID","accessRights","bibliographicCitation","language","license","modified","publisher","references","rightsHolder","type","institutionID","collectionID","datasetID","institutionCode","collectionCode","datasetName","ownerInstitutionCode","basisOfRecord","informationWithheld","dataGeneralizations","dynamicProperties","occurrenceID","catalogNumber","recordNumber","recordedBy","recordedByID","individualCount","organismQuantity","organismQuantityType","sex","lifeStage","reproductiveCondition","caste","behavior","vitality","establishmentMeans","degreeOfEstablishment","pathway","georeferenceVerificationStatus","occurrenceStatus","preparations","disposition","associatedOccurrences","associatedReferences","associatedSequences","associatedTaxa","otherCatalogNumbers","occurrenceRemarks","organismID","organismName","organismScope","associatedOrganisms","previousIdentifications","organismRemarks","materialEntityID","materialEntityRemarks","verbatimLabel","materialSampleID","eventID","parentEventID","eventType","fieldNumber","eventDate","eventTime","startDayOfYear","endDayOfYear","year","month","day","verbatimEventDate","habitat","samplingProtocol","sampleSizeValue","sampleSizeUnit","samplingEffort","fieldNotes","eventRemarks","locationID","higherGeographyID","higherGeography","continent","waterBody","islandGroup","island","countryCode","stateProvince","county","municipality","locality","verbatimLocality","verbatimElevation","verticalDatum","verbatimDepth","minimumDistanceAboveSurfaceInMeters","maximumDistanceAboveSurfaceInMeters","locationAccordingTo","locationRemarks","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","pointRadiusSpatialFit","verbatimCoordinateSystem","verbatimSRS","footprintWKT","footprintSRS","footprintSpatialFit","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceSources","georeferenceRemarks","geologicalContextID","earliestEonOrLowestEonothem","latestEonOrHighestEonothem","earliestEraOrLowestErathem","latestEraOrHighestErathem","earliestPeriodOrLowestSystem","latestPeriodOrHighestSystem","earliestEpochOrLowestSeries","latestEpochOrHighestSeries","earliestAgeOrLowestStage","latestAgeOrHighestStage","lowestBiostratigraphicZone","highestBiostratigraphicZone","lithostratigraphicTerms","group","formation","member","bed","identificationID","verbatimIdentification","identificationQualifier","typeStatus","identifiedBy","identifiedByID","dateIdentified","identificationReferences","identificationVerificationStatus","identificationRemarks","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","order","superfamily","family","subfamily","tribe","subtribe","genus","genericName","subgenus","infragenericEpithet","specificEpithet","infraspecificEpithet","cultivarEpithet","taxonRank","verbatimTaxonRank","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","datasetKey","publishingCountry","lastInterpreted","elevation","elevationAccuracy","depth","depthAccuracy","distanceFromCentroidInMeters","issue","taxonomicIssue","nonTaxonomicIssue","mediaType","hasCoordinate","hasGeospatialIssues","taxonKey","acceptedTaxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","subgenusKey","speciesKey","species","acceptedScientificName","verbatimScientificName","typifiedName","protocol","lastParsed","lastCrawled","isInvasive","repatriated","relativeOrganismQuantity","projectId","isSequenced","gbifRegion","publishedByGbifRegion","level0Gid","level0Name","level1Gid","level1Name","level2Gid","level2Name","level3Gid","level3Name","iucnRedListCategory"
"1",614544149,"","","","CC_BY_4_0",NA,NA,"","","","","","","OTS","Herbarium - Las Cruces Biological Station","","","PRESERVED_SPECIMEN","",NA,"","","478","","","",NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"","PRESENT","","",NA,NA,NA,"","","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,"","","",NA,NA,NA,NA,NA,"","","",NA,NA,NA,"","","",NA,"","NORTH_AMERICA",NA,NA,NA,"CR","San jose","DOTA","","","","",NA,NA,NA,NA,"",NA,9.561111,-83.808333,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","Moran, Robbin","",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"Vaccinium consanguineum Klotzsch","","",NA,"","",NA,"","Plantae","Tracheophyta","Magnoliopsida","Ericales",NA,"Ericaceae",NA,NA,NA,"Vaccinium","Vaccinium",NA,NA,"consanguineum",NA,NA,"SPECIES",NA,"","","ACCEPTED","",NA,"dcf2e144-9956-491f-a5ac-8990c7fea3b9","CR",2025-11-25 04:06:21.777,NA,NA,NA,NA,NA,"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE",NA,NA,"",TRUE,FALSE,7328886,7328886,6,7707728,220,1353,2505,2882813,NA,7328886,"Vaccinium consanguineum","Vaccinium consanguineum Klotzsch","Vaccinium consanguineum",NA,"DWC_ARCHIVE",2025-11-25 04:06:21.777,2025-11-18 14:08:23.288,NA,FALSE,NA,"",FALSE,"LATIN_AMERICA","LATIN_AMERICA","CRI","Costa Rica","CRI.7_1","San José","CRI.7.6_1","Dota","CRI.7.6.1_1","Copey","LC"
"2",5904002378,"","","","CC_BY_NC_4_0",2025-11-21 12:21:10,NA,"https://www.inaturalist.org/observations/224312725","jeffwitters","","","","","iNaturalist","Observations","iNaturalist research-grade observations","","HUMAN_OBSERVATION","",NA,"","https://www.inaturalist.org/observations/224312725","224312725","","jeffwitters","",NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"","PRESENT","","",NA,NA,NA,"","","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,"","2024-06-15T08:43:27","08:43:27-06:00",167,167,2024,6,15,"2024-06-15 08:43:27-06:00","","",NA,NA,NA,"","","",NA,"","NORTH_AMERICA",NA,NA,NA,"CR","San José","","","","Perez Zeledon, San Jose, CR","",NA,NA,NA,NA,"",NA,9.54937,-83.8042,4,NA,NA,"",NA,NA,NA,NA,"",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"728480977",NA,NA,"","Alberto Yahir Neri-Mondragón","https://orcid.org/0009-0000-1250-0764",2025-11-20 18:16:16,NA,NA,"","194332",NA,NA,NA,NA,NA,NA,NA,"Vaccinium consanguineum Klotzsch","","",NA,"","",NA,"","Plantae","Tracheophyta","Magnoliopsida","Ericales",NA,"Ericaceae",NA,NA,NA,"Vaccinium","Vaccinium",NA,NA,"consanguineum",NA,NA,"SPECIES",NA,"","","ACCEPTED","",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","US",2025-12-03 19:14:04.185,NA,NA,NA,NA,NA,"CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND",NA,NA,"StillImage",TRUE,FALSE,7328886,7328886,6,7707728,220,1353,2505,2882813,NA,7328886,"Vaccinium consanguineum","Vaccinium consanguineum Klotzsch","Vaccinium consanguineum",NA,"DWC_ARCHIVE",2025-12-03 19:14:04.185,2025-12-03 05:25:56.254,NA,TRUE,NA,"",FALSE,"LATIN_AMERICA","NORTH_AMERICA","CRI","Costa Rica","CRI.7_1","San José","CRI.7.13_1","Pérez Zeledón","CRI.7.13.6_1","Páramo","LC"
"3",5903925696,"","","","CC_BY_NC_4_0",2025-11-23 18:54:53,NA,"https://www.inaturalist.org/observations/249626463","bargon","","","","","iNaturalist","Observations","iNaturalist research-grade observations","","HUMAN_OBSERVATION","",NA,"","https://www.inaturalist.org/observations/249626463","249626463","","bargon","",NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"","PRESENT","","",NA,NA,NA,"","","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,"","2024-08-24T15:28","15:28:00-06:00",237,237,2024,8,24,"2024/08/24 3:28 PM","","",NA,NA,NA,"","","",NA,"","NORTH_AMERICA",NA,NA,NA,"CR","San José","","","","San José Province, Copey District, Costa Rica","",NA,NA,NA,NA,"",NA,9.585509,-83.799127,1505,NA,NA,"",NA,NA,NA,NA,"",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"728482308",NA,NA,"","Alberto Yahir Neri-Mondragón","https://orcid.org/0009-0000-1250-0764",2025-11-20 18:19:10,NA,NA,"","194332",NA,NA,NA,NA,NA,NA,NA,"Vaccinium consanguineum Klotzsch","","",NA,"","",NA,"","Plantae","Tracheophyta","Magnoliopsida","Ericales",NA,"Ericaceae",NA,NA,NA,"Vaccinium","Vaccinium",NA,NA,"consanguineum",NA,NA,"SPECIES",NA,"","","ACCEPTED","",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","US",2025-12-03 19:22:00.026,NA,NA,NA,NA,NA,"COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND",NA,NA,"StillImage",TRUE,FALSE,7328886,7328886,6,7707728,220,1353,2505,2882813,NA,7328886,"Vaccinium consanguineum","Vaccinium consanguineum Klotzsch","Vaccinium consanguineum",NA,"DWC_ARCHIVE",2025-12-03 19:22:00.026,2025-12-03 05:25:56.254,NA,TRUE,NA,"",FALSE,"LATIN_AMERICA","NORTH_AMERICA","CRI","Costa Rica","CRI.7_1","San José","CRI.7.6_1","Dota","CRI.7.6.1_1","Copey","LC"
"4",5897858743,"","","","CC_BY_NC_4_0",2025-11-15 04:40:57,NA,"https://www.inaturalist.org/observations/266308157","Emmanuel Rodríguez Rojas","","","","","iNaturalist","Observations","iNaturalist research-grade observations","","HUMAN_OBSERVATION","",NA,"","https://www.inaturalist.org/observations/266308157","266308157","","Emmanuel Rodríguez Rojas","",NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"","PRESENT","","",NA,NA,NA,"","","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,"","2025-03-09T07:49","07:49:00-06:00",68,68,2025,3,9,"2025/03/09 7:49 AM","","",NA,NA,NA,"","","",NA,"","NORTH_AMERICA",NA,NA,NA,"CR","Alajuela","","","","Provincia de Alajuela, Naranjo, Costa Rica","",NA,NA,NA,NA,"",NA,10.179884,-84.360039,31,NA,NA,"",NA,NA,NA,NA,"",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"603821738",NA,NA,"","Emmanuel Rodríguez Rojas","",2025-03-22 00:46:49,NA,NA,"","194332",NA,NA,NA,NA,NA,NA,NA,"Vaccinium consanguineum Klotzsch","","",NA,"","",NA,"","Plantae","Tracheophyta","Magnoliopsida","Ericales",NA,"Ericaceae",NA,NA,NA,"Vaccinium","Vaccinium",NA,NA,"consanguineum",NA,NA,"SPECIES",NA,"","","ACCEPTED","",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","CR",2025-12-03 18:17:45.383,NA,NA,NA,NA,NA,"COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND",NA,NA,"StillImage",TRUE,FALSE,7328886,7328886,6,7707728,220,1353,2505,2882813,NA,7328886,"Vaccinium consanguineum","Vaccinium consanguineum Klotzsch","Vaccinium consanguineum",NA,"DWC_ARCHIVE",2025-12-03 18:17:45.383,2025-12-03 05:25:56.254,NA,FALSE,NA,"",FALSE,"LATIN_AMERICA","LATIN_AMERICA","CRI","Costa Rica","CRI.1_1","Alajuela","CRI.1.7_1","Naranjo","CRI.1.7.1_1","Cirri Sur","LC"
"5",5897709625,"","","","CC_BY_NC_4_0",2025-11-15 04:26:43,NA,"https://www.inaturalist.org/observations/296848240","Joey Santore","","","","","iNaturalist","Observations","iNaturalist research-grade observations","","HUMAN_OBSERVATION","Coordinate uncertainty increased to 31227m at the request of the observer",NA,"","https://www.inaturalist.org/observations/296848240","296848240","","Joey Santore","",NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"","PRESENT","","",NA,NA,NA,"","","Elevation 9300' with Páramo plant species affinities. Sepals at end of fruit rather than halfway down fruit. Vaccinium",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,"","2025-07-10T11:19:49","11:19:49-06:00",191,191,2025,7,10,"2025-07-10 11:19:49","","",NA,NA,NA,"","","",NA,"","NORTH_AMERICA",NA,NA,NA,"CR","Cartago","","","","Costa Rica","",NA,NA,NA,NA,"",NA,9.784453,-83.951164,31227,NA,NA,"",NA,NA,NA,NA,"",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"662865847",NA,NA,"","Joey Santore","",2025-07-10 22:27:32,NA,NA,"","194332",NA,NA,NA,NA,NA,NA,NA,"Vaccinium consanguineum Klotzsch","","",NA,"","",NA,"","Plantae","Tracheophyta","Magnoliopsida","Ericales",NA,"Ericaceae",NA,NA,NA,"Vaccinium","Vaccinium",NA,NA,"consanguineum",NA,NA,"SPECIES",NA,"","","ACCEPTED","",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","US",2025-12-03 18:22:45.577,NA,NA,NA,NA,NA,"COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND",NA,NA,"StillImage",TRUE,FALSE,7328886,7328886,6,7707728,220,1353,2505,2882813,NA,7328886,"Vaccinium consanguineum","Vaccinium consanguineum Klotzsch","Vaccinium consanguineum",NA,"DWC_ARCHIVE",2025-12-03 18:22:45.577,2025-12-03 05:25:56.254,NA,TRUE,NA,"",FALSE,"LATIN_AMERICA","NORTH_AMERICA","CRI","Costa Rica","CRI.2_1","Cartago","CRI.2.3_1","El Guarco","CRI.2.3.3_1","San Isidro","LC"
"6",5897704435,"","","","CC_BY_NC_4_0",2025-11-15 04:21:08,NA,"https://www.inaturalist.org/observations/297448436","Joey Santore","","","","","iNaturalist","Observations","iNaturalist research-grade observations","","HUMAN_OBSERVATION","Coordinate uncertainty increased to 31236m at the request of the observer",NA,"","https://www.inaturalist.org/observations/297448436","297448436","","Joey Santore","",NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"","PRESENT","","",NA,NA,NA,"","","Dominant tree here to 6 m at 3200 m elevation",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,"","2025-07-12T15:29:54","15:29:54-06:00",193,193,2025,7,12,"2025-07-12 15:29:54","","",NA,NA,NA,"","","",NA,"","NORTH_AMERICA",NA,NA,NA,"CR","San José","","","","San José, CR","",NA,NA,NA,NA,"",NA,9.577107,-83.623149,31236,NA,NA,"",NA,NA,NA,NA,"",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"664006441",NA,NA,"","Joey Santore","",2025-07-13 00:32:32,NA,NA,"","194332",NA,NA,NA,NA,NA,NA,NA,"Vaccinium consanguineum Klotzsch","","",NA,"","",NA,"","Plantae","Tracheophyta","Magnoliopsida","Ericales",NA,"Ericaceae",NA,NA,NA,"Vaccinium","Vaccinium",NA,NA,"consanguineum",NA,NA,"SPECIES",NA,"","","ACCEPTED","",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","US",2025-12-03 18:23:13.749,NA,NA,NA,NA,NA,"COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND",NA,NA,"StillImage",TRUE,FALSE,7328886,7328886,6,7707728,220,1353,2505,2882813,NA,7328886,"Vaccinium consanguineum","Vaccinium consanguineum Klotzsch","Vaccinium consanguineum",NA,"DWC_ARCHIVE",2025-12-03 18:23:13.749,2025-12-03 05:25:56.254,NA,TRUE,NA,"",FALSE,"LATIN_AMERICA","NORTH_AMERICA","CRI","Costa Rica","CRI.2_1","Cartago","CRI.2.8_1","Turrialba","CRI.2.8.1_1","Chirripó","LC"
"7",5897704226,"","","","CC_BY_NC_4_0",2025-11-15 04:32:49,NA,"https://www.inaturalist.org/observations/278182305","Caminos Amigables con Felinos-Panthera","","","","","iNaturalist","Observations","iNaturalist research-grade observations","","HUMAN_OBSERVATION","",NA,"","https://www.inaturalist.org/observations/278182305","278182305","","Caminos Amigables con Felinos-Panthera","",NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"","PRESENT","","",NA,NA,NA,"","","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,"","2025-05-03T11:40:03","11:40:03-06:00",123,123,2025,5,3,"2025-05-03 11:40:03-06:00","","",NA,NA,NA,"","","",NA,"","NORTH_AMERICA",NA,NA,NA,"CR","San José","","","","León Cortés, San José, CR","",NA,NA,NA,NA,"",NA,9.703962,-84.051583,14,NA,NA,"",NA,NA,NA,NA,"",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"626168821",NA,NA,"","Caminos Amigables con Felinos-Panthera","",2025-05-04 02:55:48,NA,NA,"","194332",NA,NA,NA,NA,NA,NA,NA,"Vaccinium consanguineum Klotzsch","","",NA,"","",NA,"","Plantae","Tracheophyta","Magnoliopsida","Ericales",NA,"Ericaceae",NA,NA,NA,"Vaccinium","Vaccinium",NA,NA,"consanguineum",NA,NA,"SPECIES",NA,"","","ACCEPTED","",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","US",2025-12-03 18:19:21.253,NA,NA,NA,NA,NA,"COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND",NA,NA,"StillImage",TRUE,FALSE,7328886,7328886,6,7707728,220,1353,2505,2882813,NA,7328886,"Vaccinium consanguineum","Vaccinium consanguineum Klotzsch","Vaccinium consanguineum",NA,"DWC_ARCHIVE",2025-12-03 18:19:21.253,2025-12-03 05:25:56.254,NA,TRUE,NA,"",FALSE,"LATIN_AMERICA","NORTH_AMERICA","CRI","Costa Rica","CRI.7_1","San José","CRI.7.9_1","León Cortés Castro","CRI.7.9.5_1","San Pablo","LC"
"8",5897695871,"","","","CC_BY_NC_4_0",2025-11-20 18:29:01,NA,"https://www.inaturalist.org/observations/6306269","Eva Hedström","","","","","iNaturalist","Observations","iNaturalist research-grade observations","","HUMAN_OBSERVATION","",NA,"","https://www.inaturalist.org/observations/6306269","6306269","","Eva Hedström","",NA,NA,NA,"","","flowers",NA,NA,NA,NA,NA,NA,"","PRESENT","","",NA,NA,NA,"","","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,"","2017-03-14T08:37","08:37:00+01:00",73,73,2017,3,14,"2017/03/14 8:37 AM CET","","",NA,NA,NA,"","","",NA,"","NORTH_AMERICA",NA,NA,NA,"CR","Cartago","","","","Cartago, Costa Rica","",NA,NA,NA,NA,"",NA,9.594088,-83.740044,2245,NA,NA,"",NA,NA,NA,NA,"",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"314300836",NA,NA,"","Stefan Neuwirth","",2022-11-17 13:33:39,NA,NA,"","194332",NA,NA,NA,NA,NA,NA,NA,"Vaccinium consanguineum Klotzsch","","",NA,"","",NA,"","Plantae","Tracheophyta","Magnoliopsida","Ericales",NA,"Ericaceae",NA,NA,NA,"Vaccinium","Vaccinium",NA,NA,"consanguineum",NA,NA,"SPECIES",NA,"","","ACCEPTED","",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","SE",2025-12-03 17:24:48.205,NA,NA,NA,NA,NA,"COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND",NA,NA,"StillImage",TRUE,FALSE,7328886,7328886,6,7707728,220,1353,2505,2882813,NA,7328886,"Vaccinium consanguineum","Vaccinium consanguineum Klotzsch","Vaccinium consanguineum",NA,"DWC_ARCHIVE",2025-12-03 17:24:48.205,2025-12-03 05:25:56.254,NA,TRUE,NA,"https://www.inaturalist.org/projects/personal-bioblitz-spring-2017",FALSE,"LATIN_AMERICA","EUROPE","CRI","Costa Rica","CRI.2_1","Cartago","CRI.2.7_1","Paraíso","CRI.2.7.3_1","Orosi","LC"
"9",5897464358,"","","","CC_BY_4_0",2025-11-20 18:20:05,NA,"https://www.inaturalist.org/observations/103545463","Emily Franzen","","","","","iNaturalist","Observations","iNaturalist research-grade observations","","HUMAN_OBSERVATION","",NA,"","https://www.inaturalist.org/observations/103545463","103545463","","Emily Franzen","",NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"","PRESENT","","",NA,NA,NA,"","","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,"","2021-12-20T11:35","11:35:00-05:00",354,354,2021,12,20,"2021/12/20 11:35 AM EST","","",NA,NA,NA,"","","",NA,"","NORTH_AMERICA",NA,NA,NA,"CR","San José","","","","San José Province, Costa Rica","",NA,NA,NA,NA,"",NA,9.550116,-83.802048,93,NA,NA,"",NA,NA,NA,NA,"",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"728468031",NA,NA,"","Alberto Yahir Neri-Mondragón","https://orcid.org/0009-0000-1250-0764",2025-11-20 17:46:31,NA,NA,"","194332",NA,NA,NA,NA,NA,NA,NA,"Vaccinium consanguineum Klotzsch","","",NA,"","",NA,"","Plantae","Tracheophyta","Magnoliopsida","Ericales",NA,"Ericaceae",NA,NA,NA,"Vaccinium","Vaccinium",NA,NA,"consanguineum",NA,NA,"SPECIES",NA,"","","ACCEPTED","",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","US",2025-12-03 17:46:19.721,NA,NA,NA,NA,NA,"COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND",NA,NA,"StillImage",TRUE,FALSE,7328886,7328886,6,7707728,220,1353,2505,2882813,NA,7328886,"Vaccinium consanguineum","Vaccinium consanguineum Klotzsch","Vaccinium consanguineum",NA,"DWC_ARCHIVE",2025-12-03 17:46:19.721,2025-12-03 05:25:56.254,NA,TRUE,NA,"",FALSE,"LATIN_AMERICA","NORTH_AMERICA","CRI","Costa Rica","CRI.7_1","San José","CRI.7.13_1","Pérez Zeledón","CRI.7.13.6_1","Páramo","LC"
"10",5897205936,"","","","CC_BY_NC_4_0",2025-11-15 03:41:02,NA,"https://www.inaturalist.org/observations/309599590","jimlep","","","","","iNaturalist","Observations","iNaturalist research-grade observations","","HUMAN_OBSERVATION","",NA,"","https://www.inaturalist.org/observations/309599590","309599590","","jimlep","",NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"","PRESENT","","",NA,NA,NA,"","","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,"","2024-02-02T11:54","11:54:00-06:00",33,33,2024,2,2,"2024/02/02 11:54 AM","","",NA,NA,NA,"","","",NA,"","NORTH_AMERICA",NA,NA,NA,"CR","San José","","","","San José Province, Pérez Zeledón, Costa Rica","",NA,NA,NA,NA,"",NA,9.553643,-83.760494,130,NA,NA,"",NA,NA,NA,NA,"",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"688604130",NA,NA,"","jimlep","",2025-08-27 22:51:41,NA,NA,"","194332",NA,NA,NA,NA,NA,NA,NA,"Vaccinium consanguineum Klotzsch","","",NA,"","",NA,"","Plantae","Tracheophyta","Magnoliopsida","Ericales",NA,"Ericaceae",NA,NA,NA,"Vaccinium","Vaccinium",NA,NA,"consanguineum",NA,NA,"SPECIES",NA,"","","ACCEPTED","",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","US",2025-12-03 18:25:03.827,NA,NA,NA,NA,NA,"CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND",NA,NA,"StillImage",TRUE,FALSE,7328886,7328886,6,7707728,220,1353,2505,2882813,NA,7328886,"Vaccinium consanguineum","Vaccinium consanguineum Klotzsch","Vaccinium consanguineum",NA,"DWC_ARCHIVE",2025-12-03 18:25:03.827,2025-12-03 05:25:56.254,NA,TRUE,NA,"",FALSE,"LATIN_AMERICA","NORTH_AMERICA","CRI","Costa Rica","CRI.7_1","San José","CRI.7.13_1","Pérez Zeledón","CRI.7.13.6_1","Páramo","LC"
