"","gbifID","accessRights","bibliographicCitation","language","license","modified","publisher","references","rightsHolder","type","institutionID","collectionID","datasetID","institutionCode","collectionCode","datasetName","ownerInstitutionCode","basisOfRecord","informationWithheld","dataGeneralizations","dynamicProperties","occurrenceID","catalogNumber","recordNumber","recordedBy","recordedByID","individualCount","organismQuantity","organismQuantityType","sex","lifeStage","reproductiveCondition","caste","behavior","vitality","establishmentMeans","degreeOfEstablishment","pathway","georeferenceVerificationStatus","occurrenceStatus","preparations","disposition","associatedOccurrences","associatedReferences","associatedSequences","associatedTaxa","otherCatalogNumbers","occurrenceRemarks","organismID","organismName","organismScope","associatedOrganisms","previousIdentifications","organismRemarks","materialEntityID","materialEntityRemarks","verbatimLabel","materialSampleID","eventID","parentEventID","eventType","fieldNumber","eventDate","eventTime","startDayOfYear","endDayOfYear","year","month","day","verbatimEventDate","habitat","samplingProtocol","sampleSizeValue","sampleSizeUnit","samplingEffort","fieldNotes","eventRemarks","locationID","higherGeographyID","higherGeography","continent","waterBody","islandGroup","island","countryCode","stateProvince","county","municipality","locality","verbatimLocality","verbatimElevation","verticalDatum","verbatimDepth","minimumDistanceAboveSurfaceInMeters","maximumDistanceAboveSurfaceInMeters","locationAccordingTo","locationRemarks","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","pointRadiusSpatialFit","verbatimCoordinateSystem","verbatimSRS","footprintWKT","footprintSRS","footprintSpatialFit","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceSources","georeferenceRemarks","geologicalContextID","earliestEonOrLowestEonothem","latestEonOrHighestEonothem","earliestEraOrLowestErathem","latestEraOrHighestErathem","earliestPeriodOrLowestSystem","latestPeriodOrHighestSystem","earliestEpochOrLowestSeries","latestEpochOrHighestSeries","earliestAgeOrLowestStage","latestAgeOrHighestStage","lowestBiostratigraphicZone","highestBiostratigraphicZone","lithostratigraphicTerms","group","formation","member","bed","identificationID","verbatimIdentification","identificationQualifier","typeStatus","identifiedBy","identifiedByID","dateIdentified","identificationReferences","identificationVerificationStatus","identificationRemarks","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","order","superfamily","family","subfamily","tribe","subtribe","genus","genericName","subgenus","infragenericEpithet","specificEpithet","infraspecificEpithet","cultivarEpithet","taxonRank","verbatimTaxonRank","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","datasetKey","publishingCountry","lastInterpreted","elevation","elevationAccuracy","depth","depthAccuracy","distanceFromCentroidInMeters","issue","taxonomicIssue","nonTaxonomicIssue","mediaType","hasCoordinate","hasGeospatialIssues","taxonKey","acceptedTaxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","subgenusKey","speciesKey","species","acceptedScientificName","verbatimScientificName","typifiedName","protocol","lastParsed","lastCrawled","isInvasive","repatriated","relativeOrganismQuantity","projectId","isSequenced","gbifRegion","publishedByGbifRegion","level0Gid","level0Name","level1Gid","level1Name","level2Gid","level2Name","level3Gid","level3Name","iucnRedListCategory"
"1",5897129142,"","","","CC_BY_NC_4_0",2025-11-12 21:44:47,NA,"https://www.inaturalist.org/observations/317658108","detectivepinkerton","","","","","iNaturalist","Observations","iNaturalist research-grade observations","","HUMAN_OBSERVATION","",NA,"","https://www.inaturalist.org/observations/317658108","317658108","","detectivepinkerton","",NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,"","PRESENT","","","",NA,"","","","","",NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"","2025-09-25T19:08:48","19:08:48-07:00",268,268,2025,9,25,"Thu Sep 25 2025 19:08:48 GMT -0700 (PDT)","",NA,NA,NA,NA,"",NA,NA,"","","NORTH_AMERICA",NA,NA,NA,"US","Washington","","","","North Bend","",NA,NA,NA,NA,NA,"",47.457371,-121.454803,NA,NA,NA,"","",NA,NA,NA,"",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,705378883,"","","","detectivepinkerton","",2025-09-30 00:12:15,"",NA,"","48348","",NA,NA,NA,NA,NA,"","Vaccinium deliciosum Piper","",NA,NA,NA,NA,NA,"","Plantae","Tracheophyta","Magnoliopsida","Ericales",NA,"Ericaceae",NA,NA,NA,"Vaccinium","Vaccinium",NA,NA,"deliciosum",NA,NA,"SPECIES",NA,"","","ACCEPTED","",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","US",2025-12-03 18:25:55.893,NA,NA,NA,NA,NA,"COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND",NA,NA,"StillImage",TRUE,FALSE,2882961,2882961,6,7707728,220,1353,2505,2882813,NA,2882961,"Vaccinium deliciosum","Vaccinium deliciosum Piper","Vaccinium deliciosum",NA,"DWC_ARCHIVE",2025-12-03 18:25:55.893,2025-12-03 05:25:56.254,NA,FALSE,NA,"",FALSE,"NORTH_AMERICA","NORTH_AMERICA","USA","United States","USA.48_1","Washington","USA.48.17_1","King","","",NA
"2",5897071325,"","","","CC_BY_NC_4_0",2025-11-12 21:44:12,NA,"https://www.inaturalist.org/observations/318101809","makennap","","","","","iNaturalist","Observations","iNaturalist research-grade observations","","HUMAN_OBSERVATION","",NA,"","https://www.inaturalist.org/observations/318101809","318101809","","makennap","",NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,"","PRESENT","","","",NA,"","","","","",NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"","2025-09-02T11:40:30","11:40:30-07:00",245,245,2025,9,2,"2025-09-02 11:40:30-07:00","",NA,NA,NA,NA,"",NA,NA,"","","NORTH_AMERICA",NA,NA,NA,"US","Washington","","","","Okanogan - Wenatchee National Forest, Snoqualmie Pass, WA, US","",NA,NA,NA,NA,NA,"",47.452612,-121.294572,9,NA,NA,"","",NA,NA,NA,"",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,706331176,"","","","makennap","",2025-10-02 00:29:47,"",NA,"","48348","",NA,NA,NA,NA,NA,"","Vaccinium deliciosum Piper","",NA,NA,NA,NA,NA,"","Plantae","Tracheophyta","Magnoliopsida","Ericales",NA,"Ericaceae",NA,NA,NA,"Vaccinium","Vaccinium",NA,NA,"deliciosum",NA,NA,"SPECIES",NA,"","","ACCEPTED","",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","US",2025-12-03 20:37:18.513,NA,NA,NA,NA,NA,"COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND",NA,NA,"StillImage",TRUE,FALSE,2882961,2882961,6,7707728,220,1353,2505,2882813,NA,2882961,"Vaccinium deliciosum","Vaccinium deliciosum Piper","Vaccinium deliciosum",NA,"DWC_ARCHIVE",2025-12-03 20:37:18.513,2025-12-03 05:25:56.254,NA,FALSE,NA,"",FALSE,"NORTH_AMERICA","NORTH_AMERICA","USA","United States","USA.48_1","Washington","USA.48.19_1","Kittitas","","",NA
"3",5892351473,"","","","CC_BY_NC_4_0",2025-11-08 04:58:35,NA,"https://www.inaturalist.org/observations/307423322","nathanxturner","","","","","iNaturalist","Observations","iNaturalist research-grade observations","","HUMAN_OBSERVATION","",NA,"","https://www.inaturalist.org/observations/307423322","307423322","","nathanxturner","",NA,NA,NA,NA,NA,"fruits or seeds",NA,NA,NA,"",NA,NA,"","PRESENT","","","",NA,"","","","","",NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"","2025-08-17T14:40:30","14:40:30-07:00",229,229,2025,8,17,"2025-08-17 14:40:30-07:00","",NA,NA,NA,NA,"",NA,NA,"","","NORTH_AMERICA",NA,NA,NA,"US","Washington","","","","Mt. Baker-Snoqualmie National Forest, Acme, WA, US","",NA,NA,NA,NA,NA,"",48.865897,-121.678405,15,NA,NA,"","",NA,NA,NA,"",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,683909927,"","","","nathanxturner","",2025-08-19 02:39:44,"",NA,"","48348","",NA,NA,NA,NA,NA,"","Vaccinium deliciosum Piper","",NA,NA,NA,NA,NA,"","Plantae","Tracheophyta","Magnoliopsida","Ericales",NA,"Ericaceae",NA,NA,NA,"Vaccinium","Vaccinium",NA,NA,"deliciosum",NA,NA,"SPECIES",NA,"","","ACCEPTED","",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","US",2025-12-03 20:36:02.538,NA,NA,NA,NA,NA,"COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND",NA,NA,"StillImage",TRUE,FALSE,2882961,2882961,6,7707728,220,1353,2505,2882813,NA,2882961,"Vaccinium deliciosum","Vaccinium deliciosum Piper","Vaccinium deliciosum",NA,"DWC_ARCHIVE",2025-12-03 20:36:02.538,2025-12-03 05:25:56.254,NA,FALSE,NA,"",FALSE,"NORTH_AMERICA","NORTH_AMERICA","USA","United States","USA.48_1","Washington","USA.48.37_1","Whatcom","","",NA
"4",5889347073,"","","","CC_BY_NC_4_0",2025-10-31 20:46:27,NA,"https://www.inaturalist.org/observations/156373011","Milli","","","","","iNaturalist","Observations","iNaturalist research-grade observations","","HUMAN_OBSERVATION","Coordinate uncertainty increased to 26839m at the request of the observer",NA,"","https://www.inaturalist.org/observations/156373011","156373011","","Milli","",NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,"","PRESENT","","","",NA,"","","","","",NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"","2017-10-08T15:23","15:23:00-07:00",281,281,2017,10,8,"2017/10/08 3:23 PM","",NA,NA,NA,NA,"",NA,NA,"","","NORTH_AMERICA",NA,NA,NA,"US","Washington","","","","Washington, US","",NA,NA,NA,NA,NA,"",47.508136,-123.366955,26839,NA,NA,"","",NA,NA,NA,"",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,378363584,"","","","T. Abe Lloyd","",2023-06-24 18:57:46,"",NA,"","48348","",NA,NA,NA,NA,NA,"","Vaccinium deliciosum Piper","",NA,NA,NA,NA,NA,"","Plantae","Tracheophyta","Magnoliopsida","Ericales",NA,"Ericaceae",NA,NA,NA,"Vaccinium","Vaccinium",NA,NA,"deliciosum",NA,NA,"SPECIES",NA,"","","ACCEPTED","",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","US",2025-12-03 18:58:37.583,NA,NA,NA,NA,NA,"COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND",NA,NA,"StillImage",TRUE,FALSE,2882961,2882961,6,7707728,220,1353,2505,2882813,NA,2882961,"Vaccinium deliciosum","Vaccinium deliciosum Piper","Vaccinium deliciosum",NA,"DWC_ARCHIVE",2025-12-03 18:58:37.583,2025-12-03 05:25:56.254,NA,FALSE,NA,"",FALSE,"NORTH_AMERICA","NORTH_AMERICA","USA","United States","USA.48_1","Washington","USA.48.23_1","Mason","","",NA
"5",5887643436,"","","en","CC0_1_0",2016-10-30 20:20:43,NA,"","University of Washington","PhysicalObject","","","","WTU","Vascular","","WTU","PRESERVED_SPECIMEN","",NA,"","3298975b-4db8-4621-b77e-29460ead5698","228834","s.n.","Wilhelm N. Suksdorf","",NA,NA,NA,NA,NA,"flowers and fruits",NA,NA,NA,"",NA,NA,"","PRESENT","","","",NA,"","","","","",NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"","1880-08","",NA,NA,1880,8,NA,"","",NA,NA,NA,NA,"",NA,NA,"","U.S.A., Washington","NORTH_AMERICA",NA,NA,NA,"US","Washington","","","Mount Adams.","","",NA,NA,NA,NA,NA,"",46.197222,-121.491389,10000,NA,NA,"","",NA,NA,NA,"Ben Legler",NA,"","Digital map","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","",NA,"",NA,"","","",NA,NA,NA,NA,NA,"","Vaccinium deliciosum Piper","Vaccinium deliciosum",NA,NA,NA,NA,NA,"Ericaceae","Plantae","Tracheophyta","Magnoliopsida","Ericales",NA,"Ericaceae",NA,NA,NA,"Vaccinium","Vaccinium",NA,NA,"deliciosum",NA,NA,"SPECIES",NA,"","ICBN","ACCEPTED","",NA,"8310f570-f762-11e1-a439-00145eb45e9a","US",2025-11-07 12:40:32.353,NA,NA,NA,NA,NA,"CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH",NA,NA,"",TRUE,FALSE,2882961,2882961,6,7707728,220,1353,2505,2882813,NA,2882961,"Vaccinium deliciosum","Vaccinium deliciosum Piper","Vaccinium deliciosum",NA,"EML",2025-11-07 12:40:32.353,2025-11-07 12:08:15.194,NA,FALSE,NA,"",FALSE,"NORTH_AMERICA","NORTH_AMERICA","USA","United States","USA.48_1","Washington","USA.48.39_1","Yakima","","",NA
"6",5887634001,"","","en","CC0_1_0",2022-11-10 21:55:38,NA,"","University of Washington","PhysicalObject","","","","WTU","Vascular","","WTU","PRESERVED_SPECIMEN","",NA,"","3bc29f3f-5e80-4818-975a-9fd9ff0fd7b3","365987","614","Sharon Rodman, Deanna Goldy, Pete Del Zotto, Arnie Peterson, Ben Legler, Don Knoke","",NA,NA,NA,NA,NA,"fruits",NA,NA,NA,"",NA,NA,"","PRESENT","","","",NA,"","","Other: NPS accession 489, catalog 15727","Scattered to 15 centimeters tall.","",NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"","2005-08-01","",213,213,2005,8,1,"","Mesic subalpine meadow, south-facing, rocky soil, with Phyllodoce empetriformis, Aster ledophyllus, Castilleja miniata, scattered trees.",NA,NA,NA,NA,"",NA,NA,"","U.S.A., Washington, Lewis County","NORTH_AMERICA",NA,NA,NA,"US","Washington","Lewis","","Mount Rainier National Park; at pass between Pinnacle Peak and Plummer Peak, Tatoosh Range.","","5900 ft.",NA,NA,NA,NA,NA,"",46.756117,-121.735783,7,NA,NA,"","",NA,NA,NA,"",NA,"","GPS","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","Ben Legler","",2005-09-01,"H&C",NA,"","","",NA,NA,NA,NA,NA,"","Vaccinium deliciosum Piper","Vaccinium deliciosum",NA,NA,NA,NA,NA,"Ericaceae","Plantae","Tracheophyta","Magnoliopsida","Ericales",NA,"Ericaceae",NA,NA,NA,"Vaccinium","Vaccinium",NA,NA,"deliciosum",NA,NA,"SPECIES",NA,"","ICBN","ACCEPTED","",NA,"8310f570-f762-11e1-a439-00145eb45e9a","US",2025-11-07 12:40:33.038,1799,NA,NA,NA,NA,"CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH",NA,NA,"",TRUE,FALSE,2882961,2882961,6,7707728,220,1353,2505,2882813,NA,2882961,"Vaccinium deliciosum","Vaccinium deliciosum Piper","Vaccinium deliciosum",NA,"EML",2025-11-07 12:40:33.038,2025-11-07 12:08:15.194,NA,FALSE,NA,"",FALSE,"NORTH_AMERICA","NORTH_AMERICA","USA","United States","USA.48_1","Washington","USA.48.21_1","Lewis","","",NA
"7",5887578424,"","","en","CC0_1_0",2022-04-19 23:29:27,NA,"","University of Washington","PhysicalObject","","","","WTU","Vascular","","WTU","PRESERVED_SPECIMEN","",NA,"","8e78cab3-d503-4fb3-ae12-0a7c818d9cd1","364763","02-61","Jennifer French","",NA,NA,NA,NA,NA,"flowers",NA,NA,NA,"",NA,NA,"","PRESENT","","","",NA,"","","","Around lake shore/Bear Lake.","",NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"","2002-08-10","",222,222,2002,8,10,"","""Snow is still melting. Flora is very """"early spring"""" with marsh marigold and Vaccinium being the only plants in full flower. A few others are start up. Lake is surrounded by Vaccinium.""",NA,NA,NA,NA,"",NA,NA,"","U.S.A., Washington, King County","NORTH_AMERICA",NA,NA,NA,"US","Washington","King","","Cedar River Watershed. Bear Lake.","","4000-4922 ft.",NA,NA,NA,NA,NA,"",47.339167,-121.496389,100,NA,NA,"","",NA,NA,NA,"WTU Staff",NA,"","Georeferenced","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","Clayton J. Antieau","",2002-11-21,"H&C",NA,"","","",NA,NA,NA,NA,NA,"","Vaccinium deliciosum Piper","Vaccinium deliciosum",NA,NA,NA,NA,NA,"Ericaceae","Plantae","Tracheophyta","Magnoliopsida","Ericales",NA,"Ericaceae",NA,NA,NA,"Vaccinium","Vaccinium",NA,NA,"deliciosum",NA,NA,"SPECIES",NA,"","ICBN","ACCEPTED","",NA,"8310f570-f762-11e1-a439-00145eb45e9a","US",2025-11-07 12:40:29.547,1360.5,140.5,NA,NA,NA,"CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH",NA,NA,"",TRUE,FALSE,2882961,2882961,6,7707728,220,1353,2505,2882813,NA,2882961,"Vaccinium deliciosum","Vaccinium deliciosum Piper","Vaccinium deliciosum",NA,"EML",2025-11-07 12:40:29.547,2025-11-07 12:08:15.194,NA,FALSE,NA,"",FALSE,"NORTH_AMERICA","NORTH_AMERICA","USA","United States","USA.48_1","Washington","USA.48.17_1","King","","",NA
"8",5887574701,"","","en","CC0_1_0",2022-07-25 04:20:56,NA,"","University of Washington","PhysicalObject","","","","WTU","Vascular","","WTU","PRESERVED_SPECIMEN","",NA,"","4740dc27-360b-4ba4-9652-0eeae018723d","356928","112","Jeff Walker, Sharon Rodman, Nancy Job","",NA,NA,NA,NA,NA,"fruits",NA,NA,NA,"",NA,NA,"","PRESENT","","","",NA,"","","Other: NPS accession 656, catalog 24480","Scattered clumps, growing with Spiraea. In fruit. Up to 3 feet tall.","",NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"","2003-08-23","",235,235,2003,8,23,"","Wet meadow with braided streams.",NA,NA,NA,NA,"",NA,NA,"","U.S.A., Washington, Skagit County","NORTH_AMERICA",NA,NA,NA,"US","Washington","Skagit","","North Cascades National Park. Fisher Creek wetland complex near headwaters.","","5248 ft.",NA,NA,NA,NA,NA,"",48.562217,-120.841267,200,NA,NA,"","",NA,NA,NA,"",NA,"","Field notes","UTM calculated from Lat-Lon.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","David Giblin","",2003-09-18,"",NA,"","","",NA,NA,NA,NA,NA,"","Vaccinium deliciosum Piper","Vaccinium deliciosum",NA,NA,NA,NA,NA,"Ericaceae","Plantae","Tracheophyta","Magnoliopsida","Ericales",NA,"Ericaceae",NA,NA,NA,"Vaccinium","Vaccinium",NA,NA,"deliciosum",NA,NA,"SPECIES",NA,"","ICBN","ACCEPTED","",NA,"8310f570-f762-11e1-a439-00145eb45e9a","US",2025-11-07 12:40:25.75,1600,NA,NA,NA,NA,"GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH",NA,NA,"",TRUE,FALSE,2882961,2882961,6,7707728,220,1353,2505,2882813,NA,2882961,"Vaccinium deliciosum","Vaccinium deliciosum Piper","Vaccinium deliciosum",NA,"EML",2025-11-07 12:40:25.75,2025-11-07 12:08:15.194,NA,FALSE,NA,"",FALSE,"NORTH_AMERICA","NORTH_AMERICA","USA","United States","USA.48_1","Washington","USA.48.29_1","Skagit","","",NA
"9",5887572046,"","","en","CC0_1_0",2022-11-12 18:35:16,NA,"","University of Washington","PhysicalObject","","","","WTU","Vascular","","WTU","PRESERVED_SPECIMEN","",NA,"","248a9d33-0938-4337-8791-42c97357d51d","352152","76","Jessie Johanson","",NA,NA,NA,NA,NA,"fruits",NA,NA,NA,"",NA,NA,"","PRESENT","","","",NA,"","","","","",NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"","2001-06-15","",166,166,2001,6,15,"","",NA,NA,NA,NA,"",NA,NA,"","U.S.A., Washington, Skamania County","NORTH_AMERICA",NA,NA,NA,"US","Washington","Skamania","","Sleeping Beauty outcrop, steep trail starts at about 3500\' in mixed conifer woods.","","3500 ft.",NA,NA,NA,NA,NA,"",46.093267,-121.650117,200,NA,NA,"","",NA,NA,NA,"",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","Don Knoke","",2002-03-21,"",NA,"","","",NA,NA,NA,NA,NA,"","Vaccinium deliciosum Piper","Vaccinium deliciosum",NA,NA,NA,NA,NA,"Ericaceae","Plantae","Tracheophyta","Magnoliopsida","Ericales",NA,"Ericaceae",NA,NA,NA,"Vaccinium","Vaccinium",NA,NA,"deliciosum",NA,NA,"SPECIES",NA,"","ICBN","ACCEPTED","",NA,"8310f570-f762-11e1-a439-00145eb45e9a","US",2025-11-07 12:40:24.214,1067,NA,NA,NA,NA,"GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH",NA,NA,"",TRUE,FALSE,2882961,2882961,6,7707728,220,1353,2505,2882813,NA,2882961,"Vaccinium deliciosum","Vaccinium deliciosum Piper","Vaccinium deliciosum",NA,"EML",2025-11-07 12:40:24.214,2025-11-07 12:08:15.194,NA,FALSE,NA,"",FALSE,"NORTH_AMERICA","NORTH_AMERICA","USA","United States","USA.48_1","Washington","USA.48.30_1","Skamania","","",NA
"10",5887567396,"","","en","CC0_1_0",2022-11-12 18:33:56,NA,"","University of Washington","PhysicalObject","","","","WTU","Vascular","","WTU","PRESERVED_SPECIMEN","",NA,"","415593ba-bc36-4f31-9549-a0a819a2a50f","292500","s.n.","Walter J. Eyerdam","",NA,NA,NA,NA,NA,"flowers",NA,NA,NA,"",NA,NA,"","PRESENT","","","",NA,"","","","Growing near tree limit.","",NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"","1935-07-27","",208,208,1935,7,27,"","",NA,NA,NA,NA,"",NA,NA,"","U.S.A., Washington, Snohomish County","NORTH_AMERICA",NA,NA,NA,"US","Washington","Snohomish","","Twin Lakes, Monte Cristo District.","","4500 ft.",NA,NA,NA,NA,NA,"",47.953074,-121.376301,800,NA,NA,"","",NA,NA,NA,"Jim Duemmel",NA,"","Digital Map","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","",NA,"",NA,"","","",NA,NA,NA,NA,NA,"","Vaccinium deliciosum Piper","Vaccinium deliciosum",NA,NA,NA,NA,NA,"Ericaceae","Plantae","Tracheophyta","Magnoliopsida","Ericales",NA,"Ericaceae",NA,NA,NA,"Vaccinium","Vaccinium",NA,NA,"deliciosum",NA,NA,"SPECIES",NA,"","ICBN","ACCEPTED","",NA,"8310f570-f762-11e1-a439-00145eb45e9a","US",2025-11-07 12:40:22.583,1372,NA,NA,NA,NA,"CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH",NA,NA,"",TRUE,FALSE,2882961,2882961,6,7707728,220,1353,2505,2882813,NA,2882961,"Vaccinium deliciosum","Vaccinium deliciosum Piper","Vaccinium deliciosum",NA,"EML",2025-11-07 12:40:22.583,2025-11-07 12:08:15.194,NA,FALSE,NA,"",FALSE,"NORTH_AMERICA","NORTH_AMERICA","USA","United States","USA.48_1","Washington","USA.48.31_1","Snohomish","","",NA
