"","gbifID","accessRights","bibliographicCitation","language","license","modified","publisher","references","rightsHolder","type","institutionID","collectionID","datasetID","institutionCode","collectionCode","datasetName","ownerInstitutionCode","basisOfRecord","informationWithheld","dataGeneralizations","dynamicProperties","occurrenceID","catalogNumber","recordNumber","recordedBy","recordedByID","individualCount","organismQuantity","organismQuantityType","sex","lifeStage","reproductiveCondition","caste","behavior","vitality","establishmentMeans","degreeOfEstablishment","pathway","georeferenceVerificationStatus","occurrenceStatus","preparations","disposition","associatedOccurrences","associatedReferences","associatedSequences","associatedTaxa","otherCatalogNumbers","occurrenceRemarks","organismID","organismName","organismScope","associatedOrganisms","previousIdentifications","organismRemarks","materialEntityID","materialEntityRemarks","verbatimLabel","materialSampleID","eventID","parentEventID","eventType","fieldNumber","eventDate","eventTime","startDayOfYear","endDayOfYear","year","month","day","verbatimEventDate","habitat","samplingProtocol","sampleSizeValue","sampleSizeUnit","samplingEffort","fieldNotes","eventRemarks","locationID","higherGeographyID","higherGeography","continent","waterBody","islandGroup","island","countryCode","stateProvince","county","municipality","locality","verbatimLocality","verbatimElevation","verticalDatum","verbatimDepth","minimumDistanceAboveSurfaceInMeters","maximumDistanceAboveSurfaceInMeters","locationAccordingTo","locationRemarks","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","pointRadiusSpatialFit","verbatimCoordinateSystem","verbatimSRS","footprintWKT","footprintSRS","footprintSpatialFit","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceSources","georeferenceRemarks","geologicalContextID","earliestEonOrLowestEonothem","latestEonOrHighestEonothem","earliestEraOrLowestErathem","latestEraOrHighestErathem","earliestPeriodOrLowestSystem","latestPeriodOrHighestSystem","earliestEpochOrLowestSeries","latestEpochOrHighestSeries","earliestAgeOrLowestStage","latestAgeOrHighestStage","lowestBiostratigraphicZone","highestBiostratigraphicZone","lithostratigraphicTerms","group","formation","member","bed","identificationID","verbatimIdentification","identificationQualifier","typeStatus","identifiedBy","identifiedByID","dateIdentified","identificationReferences","identificationVerificationStatus","identificationRemarks","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","order","superfamily","family","subfamily","tribe","subtribe","genus","genericName","subgenus","infragenericEpithet","specificEpithet","infraspecificEpithet","cultivarEpithet","taxonRank","verbatimTaxonRank","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","datasetKey","publishingCountry","lastInterpreted","elevation","elevationAccuracy","depth","depthAccuracy","distanceFromCentroidInMeters","issue","taxonomicIssue","nonTaxonomicIssue","mediaType","hasCoordinate","hasGeospatialIssues","taxonKey","acceptedTaxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","subgenusKey","speciesKey","species","acceptedScientificName","verbatimScientificName","typifiedName","protocol","lastParsed","lastCrawled","isInvasive","repatriated","relativeOrganismQuantity","projectId","isSequenced","gbifRegion","publishedByGbifRegion","level0Gid","level0Name","level1Gid","level1Name","level2Gid","level2Name","level3Gid","level3Name","iucnRedListCategory"
"1",5897866026,NA,"","","CC_BY_NC_4_0",2025-11-18 13:20:59,NA,"https://www.inaturalist.org/observations/223180477","bpagdon","","","",NA,"iNaturalist","Observations","iNaturalist research-grade observations","","HUMAN_OBSERVATION","Coordinate uncertainty increased to 28734m at the request of the observer",NA,NA,"https://www.inaturalist.org/observations/223180477","223180477","","bpagdon","",NA,NA,NA,NA,NA,"fruits or seeds",NA,NA,NA,NA,NA,NA,"","PRESENT","","",NA,NA,NA,"","","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-06-16T09:49:22","09:49:22-04:00",168,168,2024,6,16,"2024-06-16 09:49:22","",NA,NA,NA,NA,NA,NA,NA,NA,"","NORTH_AMERICA",NA,NA,NA,"US","Tennessee","","","","United States","",NA,NA,NA,NA,"",NA,35.068233,-84.687855,28734,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,501859311,NA,NA,"","bpagdon","",2024-06-16 19:53:23,"",NA,"",170105,NA,NA,NA,NA,NA,NA,NA,"Vaccinium hirsutum Buckley",NA,NA,NA,NA,NA,NA,"","Plantae","Tracheophyta","Magnoliopsida","Ericales",NA,"Ericaceae",NA,NA,NA,"Vaccinium","Vaccinium",NA,NA,"hirsutum",NA,NA,"SPECIES",NA,NA,"","ACCEPTED","",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","US",2025-12-03 19:14:22.177,NA,NA,NA,NA,NA,"COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND",NA,NA,"StillImage",TRUE,FALSE,2882824,2882824,6,7707728,220,1353,2505,2882813,NA,2882824,"Vaccinium hirsutum","Vaccinium hirsutum Buckley","Vaccinium hirsutum",NA,"DWC_ARCHIVE",2025-12-03 19:14:22.177,2025-12-03 05:25:56.254,NA,FALSE,NA,"",FALSE,"NORTH_AMERICA","NORTH_AMERICA","USA","United States","USA.43_1","Tennessee","USA.43.70_1","Polk",NA,NA,NA
"2",5897725606,NA,"","","CC_BY_NC_4_0",2025-11-18 13:20:11,NA,"https://www.inaturalist.org/observations/249589855","Josh Emm","","","",NA,"iNaturalist","Observations","iNaturalist research-grade observations","","HUMAN_OBSERVATION","Coordinate uncertainty increased to 28706m at the request of the observer",NA,NA,"https://www.inaturalist.org/observations/249589855","249589855","","Josh Emm","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","PRESENT","","",NA,NA,NA,"","","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-07-21T12:07:36","12:07:36-04:00",203,203,2024,7,21,"2024-07-21 12:07:36-04:00","",NA,NA,NA,NA,NA,NA,NA,NA,"","NORTH_AMERICA",NA,NA,NA,"US","Tennessee","","","","Tennessee, US","",NA,NA,NA,NA,"",NA,35.204027,-84.312599,28706,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,558178355,NA,NA,"","Josh Emm","",2024-10-29 04:07:58,"",NA,"",170105,NA,NA,NA,NA,NA,NA,NA,"Vaccinium hirsutum Buckley",NA,NA,NA,NA,NA,NA,"","Plantae","Tracheophyta","Magnoliopsida","Ericales",NA,"Ericaceae",NA,NA,NA,"Vaccinium","Vaccinium",NA,NA,"hirsutum",NA,NA,"SPECIES",NA,NA,"","ACCEPTED","",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","US",2025-12-03 19:21:11.741,NA,NA,NA,NA,NA,"COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND",NA,NA,"StillImage",TRUE,FALSE,2882824,2882824,6,7707728,220,1353,2505,2882813,NA,2882824,"Vaccinium hirsutum","Vaccinium hirsutum Buckley","Vaccinium hirsutum",NA,"DWC_ARCHIVE",2025-12-03 19:21:11.741,2025-12-03 05:25:56.254,NA,FALSE,NA,"",FALSE,"NORTH_AMERICA","NORTH_AMERICA","USA","United States","USA.43_1","Tennessee","USA.43.70_1","Polk",NA,NA,NA
"3",5897695974,NA,"","","CC_BY_NC_4_0",2025-11-18 13:21:45,NA,"https://www.inaturalist.org/observations/212949711","Josh Emm","","","",NA,"iNaturalist","Observations","iNaturalist research-grade observations","","HUMAN_OBSERVATION","Coordinate uncertainty increased to 28706m at the request of the observer",NA,NA,"https://www.inaturalist.org/observations/212949711","212949711","","Josh Emm","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","PRESENT","","",NA,NA,NA,"","","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-05-01T19:18:30","19:18:30-04:00",122,122,2024,5,1,"2024-05-01 19:18:30-04:00","",NA,NA,NA,NA,NA,NA,NA,NA,"","NORTH_AMERICA",NA,NA,NA,"US","Tennessee","","","","Tennessee, US","",NA,NA,NA,NA,"",NA,35.286791,-84.240511,28706,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,481052653,NA,NA,"","Josh Emm","",2024-05-02 18:25:52,"",NA,"",170105,NA,NA,NA,NA,NA,NA,NA,"Vaccinium hirsutum Buckley",NA,NA,NA,NA,NA,NA,"","Plantae","Tracheophyta","Magnoliopsida","Ericales",NA,"Ericaceae",NA,NA,NA,"Vaccinium","Vaccinium",NA,NA,"hirsutum",NA,NA,"SPECIES",NA,NA,"","ACCEPTED","",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","US",2025-12-03 20:19:19.895,NA,NA,NA,NA,NA,"COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND",NA,NA,"StillImage",TRUE,FALSE,2882824,2882824,6,7707728,220,1353,2505,2882813,NA,2882824,"Vaccinium hirsutum","Vaccinium hirsutum Buckley","Vaccinium hirsutum",NA,"DWC_ARCHIVE",2025-12-03 20:19:19.895,2025-12-03 05:25:56.254,NA,FALSE,NA,"",FALSE,"NORTH_AMERICA","NORTH_AMERICA","USA","United States","USA.43_1","Tennessee","USA.43.62_1","Monroe",NA,NA,NA
"4",5897269830,NA,"","","CC_BY_4_0",2025-11-18 13:22:49,NA,"https://www.inaturalist.org/observations/325416480","Hill Craddock","","","",NA,"iNaturalist","Observations","iNaturalist research-grade observations","","HUMAN_OBSERVATION","",NA,NA,"https://www.inaturalist.org/observations/325416480","325416480","","Hill Craddock","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","PRESENT","","",NA,NA,NA,"","","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-11-07T13:06:43","13:06:43-05:00",311,311,2025,11,7,"2025-11-07 13:06:43-05:00","",NA,NA,NA,NA,NA,NA,NA,NA,"","NORTH_AMERICA",NA,NA,NA,"US","Tennessee","","","","Cherokee National Forest, Copperhill, TN, US","",NA,NA,NA,NA,"",NA,35.055664,-84.396322,4,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,723315323,NA,NA,"","Hill Craddock","",2025-11-08 01:19:17,"",NA,"",170105,NA,NA,NA,NA,NA,NA,NA,"Vaccinium hirsutum Buckley",NA,NA,NA,NA,NA,NA,"","Plantae","Tracheophyta","Magnoliopsida","Ericales",NA,"Ericaceae",NA,NA,NA,"Vaccinium","Vaccinium",NA,NA,"hirsutum",NA,NA,"SPECIES",NA,NA,"","ACCEPTED","",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","US",2025-12-03 19:37:33.687,NA,NA,NA,NA,NA,"COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND",NA,NA,"StillImage",TRUE,FALSE,2882824,2882824,6,7707728,220,1353,2505,2882813,NA,2882824,"Vaccinium hirsutum","Vaccinium hirsutum Buckley","Vaccinium hirsutum",NA,"DWC_ARCHIVE",2025-12-03 19:37:33.687,2025-12-03 05:25:56.254,NA,FALSE,NA,"",FALSE,"NORTH_AMERICA","NORTH_AMERICA","USA","United States","USA.43_1","Tennessee","USA.43.70_1","Polk",NA,NA,NA
"5",5831069677,NA,"","","CC_BY_4_0",2025-09-18 11:22:20,NA,"https://www.inaturalist.org/observations/157326164","Alaina Krakowiak","","","",NA,"iNaturalist","Observations","iNaturalist research-grade observations","","HUMAN_OBSERVATION","",NA,NA,"https://www.inaturalist.org/observations/157326164","157326164","","Alaina Krakowiak","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","PRESENT","","",NA,NA,NA,"","","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-04-28T13:05:54","13:05:54-04:00",118,118,2023,4,28,"2023-04-28 13:05:54","",NA,NA,NA,NA,NA,NA,NA,NA,"","NORTH_AMERICA",NA,NA,NA,"US","Tennessee","","","","Townsend, TN 37882, USA","",NA,NA,NA,NA,"",NA,35.607994,-83.878517,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,355079216,NA,NA,"","Alaina Krakowiak","",2023-04-28 22:07:26,"",NA,"",170105,NA,NA,NA,NA,NA,NA,NA,"Vaccinium hirsutum Buckley",NA,NA,NA,NA,NA,NA,"","Plantae","Tracheophyta","Magnoliopsida","Ericales",NA,"Ericaceae",NA,NA,NA,"Vaccinium","Vaccinium",NA,NA,"hirsutum",NA,NA,"SPECIES",NA,NA,"","ACCEPTED","",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","US",2025-12-03 17:57:39.763,NA,NA,NA,NA,NA,"COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND",NA,NA,"StillImage",TRUE,FALSE,2882824,2882824,6,7707728,220,1353,2505,2882813,NA,2882824,"Vaccinium hirsutum","Vaccinium hirsutum Buckley","Vaccinium hirsutum",NA,"DWC_ARCHIVE",2025-12-03 17:57:39.763,2025-12-03 05:25:56.254,NA,FALSE,NA,"",FALSE,"NORTH_AMERICA","NORTH_AMERICA","USA","United States","USA.43_1","Tennessee","USA.43.5_1","Blount",NA,NA,NA
"6",5830756929,NA,"","","CC_BY_NC_4_0",2025-09-18 11:25:26,NA,"https://www.inaturalist.org/observations/314601157","plantxplorer","","","",NA,"iNaturalist","Observations","iNaturalist research-grade observations","","HUMAN_OBSERVATION","",NA,NA,"https://www.inaturalist.org/observations/314601157","314601157","","plantxplorer","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","PRESENT","","",NA,NA,NA,"","","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-09-16T13:07:07","13:07:07-04:00",259,259,2025,9,16,"2025-09-16 13:07:07-04:00","",NA,NA,NA,NA,NA,NA,NA,NA,"","NORTH_AMERICA",NA,NA,NA,"US","Tennessee","","","","Pikeville, TN, US","",NA,NA,NA,NA,"",NA,35.573278,-85.047767,4,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,699240815,NA,NA,"","plantxplorer","",2025-09-17 16:18:00,"",NA,"",170105,NA,NA,NA,NA,NA,NA,NA,"Vaccinium hirsutum Buckley",NA,NA,NA,NA,NA,NA,"","Plantae","Tracheophyta","Magnoliopsida","Ericales",NA,"Ericaceae",NA,NA,NA,"Vaccinium","Vaccinium",NA,NA,"hirsutum",NA,NA,"SPECIES",NA,NA,"","ACCEPTED","",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","US",2025-12-03 18:25:29.328,NA,NA,NA,NA,NA,"COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND",NA,NA,"StillImage",TRUE,FALSE,2882824,2882824,6,7707728,220,1353,2505,2882813,NA,2882824,"Vaccinium hirsutum","Vaccinium hirsutum Buckley","Vaccinium hirsutum",NA,"DWC_ARCHIVE",2025-12-03 18:25:29.328,2025-12-03 05:25:56.254,NA,FALSE,NA,"",FALSE,"NORTH_AMERICA","NORTH_AMERICA","USA","United States","USA.43_1","Tennessee","USA.43.72_1","Rhea",NA,NA,NA
"7",5828318920,NA,"","","CC_BY_4_0",2025-09-18 11:21:40,NA,"https://www.inaturalist.org/observations/234306606","Will Kuhn","","","",NA,"iNaturalist","Observations","iNaturalist research-grade observations","","HUMAN_OBSERVATION","",NA,NA,"https://www.inaturalist.org/observations/234306606","234306606","","Will Kuhn","https://orcid.org/0000-0002-5506-6379",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","PRESENT","","",NA,NA,NA,"","","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-08-06T11:06:57","11:06:57-04:00",219,219,2024,8,6,"2024-08-06 11:06:57","",NA,NA,NA,NA,NA,NA,NA,NA,"","NORTH_AMERICA",NA,NA,NA,"US","Tennessee","","","","Townsend, TN 37882, USA","",NA,NA,NA,NA,"",NA,35.53571,-83.891422,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,524550018,NA,NA,"","Will Kuhn","https://orcid.org/0000-0002-5506-6379",2024-08-07 10:29:42,"",NA,"",170105,NA,NA,NA,NA,NA,NA,NA,"Vaccinium hirsutum Buckley",NA,NA,NA,NA,NA,NA,"","Plantae","Tracheophyta","Magnoliopsida","Ericales",NA,"Ericaceae",NA,NA,NA,"Vaccinium","Vaccinium",NA,NA,"hirsutum",NA,NA,"SPECIES",NA,NA,"","ACCEPTED","",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","US",2025-12-03 18:12:40.018,NA,NA,NA,NA,NA,"CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND",NA,NA,"StillImage",TRUE,FALSE,2882824,2882824,6,7707728,220,1353,2505,2882813,NA,2882824,"Vaccinium hirsutum","Vaccinium hirsutum Buckley","Vaccinium hirsutum",NA,"DWC_ARCHIVE",2025-12-03 18:12:40.018,2025-12-03 05:25:56.254,NA,FALSE,NA,"",FALSE,"NORTH_AMERICA","NORTH_AMERICA","USA","United States","USA.43_1","Tennessee","USA.43.5_1","Blount",NA,NA,NA
"8",5760508806,NA,"","","CC_BY_NC_4_0",2025-08-25 03:47:01,NA,"https://www.inaturalist.org/observations/308898772","Ashley M Bradford","","","",NA,"iNaturalist","Observations","iNaturalist research-grade observations","","HUMAN_OBSERVATION","",NA,NA,"https://www.inaturalist.org/observations/308898772","308898772","","Ashley M Bradford","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","PRESENT","","",NA,NA,NA,"","","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-08-24T16:48:37","16:48:37-04:00",236,236,2025,8,24,"2025-08-24 16:48:37","",NA,NA,NA,NA,NA,NA,NA,NA,"","NORTH_AMERICA",NA,NA,NA,"US","Tennessee","","","","Rivendell Ln, Tellico Plains, TN, US","",NA,NA,NA,NA,"",NA,35.265163,-84.263292,28,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,687031841,NA,NA,"","Ashley M Bradford","",2025-08-25 01:52:29,"",NA,"",170105,NA,NA,NA,NA,NA,NA,NA,"Vaccinium hirsutum Buckley",NA,NA,NA,NA,NA,NA,"","Plantae","Tracheophyta","Magnoliopsida","Ericales",NA,"Ericaceae",NA,NA,NA,"Vaccinium","Vaccinium",NA,NA,"hirsutum",NA,NA,"SPECIES",NA,NA,"","ACCEPTED","",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","US",2025-12-03 20:36:07.833,NA,NA,NA,NA,NA,"COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND",NA,NA,"StillImage",TRUE,FALSE,2882824,2882824,6,7707728,220,1353,2505,2882813,NA,2882824,"Vaccinium hirsutum","Vaccinium hirsutum Buckley","Vaccinium hirsutum",NA,"DWC_ARCHIVE",2025-12-03 20:36:07.833,2025-12-03 05:25:56.254,NA,FALSE,NA,"",FALSE,"NORTH_AMERICA","NORTH_AMERICA","USA","United States","USA.43_1","Tennessee","USA.43.62_1","Monroe",NA,NA,NA
"9",5293060996,NA,"","","CC_BY_NC_4_0",2025-08-18 00:02:24,NA,"https://www.inaturalist.org/observations/301954712","Dallas York","","","",NA,"iNaturalist","Observations","iNaturalist research-grade observations","","HUMAN_OBSERVATION","",NA,NA,"https://www.inaturalist.org/observations/301954712","301954712","","Dallas York","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","PRESENT","","",NA,NA,NA,"","","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-07-24T11:41","11:41:00-04:00",205,205,2025,7,24,"2025-07-24 11:41:00-04:00","",NA,NA,NA,NA,NA,NA,NA,NA,"","NORTH_AMERICA",NA,NA,NA,"US","Tennessee","","","","Cherokee National Forest, Copperhill, TN, US","",NA,NA,NA,NA,"",NA,35.055699,-84.396073,48,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,672810088,NA,NA,"","Dallas York","",2025-07-28 23:03:07,"",NA,"",170105,NA,NA,NA,NA,NA,NA,NA,"Vaccinium hirsutum Buckley",NA,NA,NA,NA,NA,NA,"","Plantae","Tracheophyta","Magnoliopsida","Ericales",NA,"Ericaceae",NA,NA,NA,"Vaccinium","Vaccinium",NA,NA,"hirsutum",NA,NA,"SPECIES",NA,NA,"","ACCEPTED","",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","US",2025-12-03 19:33:12.743,NA,NA,NA,NA,NA,"COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND",NA,NA,"StillImage",TRUE,FALSE,2882824,2882824,6,7707728,220,1353,2505,2882813,NA,2882824,"Vaccinium hirsutum","Vaccinium hirsutum Buckley","Vaccinium hirsutum",NA,"DWC_ARCHIVE",2025-12-03 19:33:12.743,2025-12-03 05:25:56.254,NA,FALSE,NA,"",FALSE,"NORTH_AMERICA","NORTH_AMERICA","USA","United States","USA.43_1","Tennessee","USA.43.70_1","Polk",NA,NA,NA
"10",5293018221,NA,"","","CC_BY_4_0",2025-08-18 00:24:15,NA,"https://www.inaturalist.org/observations/274626497","Nina Grauley","","","",NA,"iNaturalist","Observations","iNaturalist research-grade observations","","HUMAN_OBSERVATION","",NA,NA,"https://www.inaturalist.org/observations/274626497","274626497","","Nina Grauley","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","PRESENT","","",NA,NA,NA,"","","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-04-26T10:15:50","10:15:50-04:00",116,116,2025,4,26,"2025-04-26 10:15:50","",NA,NA,NA,NA,NA,NA,NA,NA,"","NORTH_AMERICA",NA,NA,NA,"US","Tennessee","","","","Townsend, TN 37882, USA","",NA,NA,NA,NA,"",NA,35.546132,-83.837592,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,620194635,NA,NA,"","Nina Grauley","",2025-04-27 12:55:09,"",NA,"",170105,NA,NA,NA,NA,NA,NA,NA,"Vaccinium hirsutum Buckley",NA,NA,NA,NA,NA,NA,"","Plantae","Tracheophyta","Magnoliopsida","Ericales",NA,"Ericaceae",NA,NA,NA,"Vaccinium","Vaccinium",NA,NA,"hirsutum",NA,NA,"SPECIES",NA,NA,"","ACCEPTED","",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","US",2025-12-03 19:27:31.552,NA,NA,NA,NA,NA,"CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND",NA,NA,"",TRUE,FALSE,2882824,2882824,6,7707728,220,1353,2505,2882813,NA,2882824,"Vaccinium hirsutum","Vaccinium hirsutum Buckley","Vaccinium hirsutum",NA,"DWC_ARCHIVE",2025-12-03 19:27:31.552,2025-12-03 05:25:56.254,NA,FALSE,NA,"",FALSE,"NORTH_AMERICA","NORTH_AMERICA","USA","United States","USA.43_1","Tennessee","USA.43.5_1","Blount",NA,NA,NA
