"","gbifID","accessRights","bibliographicCitation","language","license","modified","publisher","references","rightsHolder","type","institutionID","collectionID","datasetID","institutionCode","collectionCode","datasetName","ownerInstitutionCode","basisOfRecord","informationWithheld","dataGeneralizations","dynamicProperties","occurrenceID","catalogNumber","recordNumber","recordedBy","recordedByID","individualCount","organismQuantity","organismQuantityType","sex","lifeStage","reproductiveCondition","caste","behavior","vitality","establishmentMeans","degreeOfEstablishment","pathway","georeferenceVerificationStatus","occurrenceStatus","preparations","disposition","associatedOccurrences","associatedReferences","associatedSequences","associatedTaxa","otherCatalogNumbers","occurrenceRemarks","organismID","organismName","organismScope","associatedOrganisms","previousIdentifications","organismRemarks","materialEntityID","materialEntityRemarks","verbatimLabel","materialSampleID","eventID","parentEventID","eventType","fieldNumber","eventDate","eventTime","startDayOfYear","endDayOfYear","year","month","day","verbatimEventDate","habitat","samplingProtocol","sampleSizeValue","sampleSizeUnit","samplingEffort","fieldNotes","eventRemarks","locationID","higherGeographyID","higherGeography","continent","waterBody","islandGroup","island","countryCode","stateProvince","county","municipality","locality","verbatimLocality","verbatimElevation","verticalDatum","verbatimDepth","minimumDistanceAboveSurfaceInMeters","maximumDistanceAboveSurfaceInMeters","locationAccordingTo","locationRemarks","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","pointRadiusSpatialFit","verbatimCoordinateSystem","verbatimSRS","footprintWKT","footprintSRS","footprintSpatialFit","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceSources","georeferenceRemarks","geologicalContextID","earliestEonOrLowestEonothem","latestEonOrHighestEonothem","earliestEraOrLowestErathem","latestEraOrHighestErathem","earliestPeriodOrLowestSystem","latestPeriodOrHighestSystem","earliestEpochOrLowestSeries","latestEpochOrHighestSeries","earliestAgeOrLowestStage","latestAgeOrHighestStage","lowestBiostratigraphicZone","highestBiostratigraphicZone","lithostratigraphicTerms","group","formation","member","bed","identificationID","verbatimIdentification","identificationQualifier","typeStatus","identifiedBy","identifiedByID","dateIdentified","identificationReferences","identificationVerificationStatus","identificationRemarks","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","order","superfamily","family","subfamily","tribe","subtribe","genus","genericName","subgenus","infragenericEpithet","specificEpithet","infraspecificEpithet","cultivarEpithet","taxonRank","verbatimTaxonRank","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","datasetKey","publishingCountry","lastInterpreted","elevation","elevationAccuracy","depth","depthAccuracy","distanceFromCentroidInMeters","issue","taxonomicIssue","nonTaxonomicIssue","mediaType","hasCoordinate","hasGeospatialIssues","taxonKey","acceptedTaxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","subgenusKey","speciesKey","species","acceptedScientificName","verbatimScientificName","typifiedName","protocol","lastParsed","lastCrawled","isInvasive","repatriated","relativeOrganismQuantity","projectId","isSequenced","gbifRegion","publishedByGbifRegion","level0Gid","level0Name","level1Gid","level1Name","level2Gid","level2Name","level3Gid","level3Name","iucnRedListCategory"
"1",894988029,"","","en","CC0_1_0",NA,NA,"","University of Lethbridge Herbarium","PhysicalObject","http://grscicoll.org/institution/university-lethbridge","https://www.gbif.org/grscicoll/collection/281693a5-fba9-4040-82c3-cc6a4116e186","https://doi.org/10.5886/wrt547hq","University of Lethbridge","LEA","University of Lethbridge Herbarium (LEA)","University of Lethbridge","PRESERVED_SPECIMEN","","","","13183","13183","484","P. Warrington, J. Nagy","",NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,"","PRESENT","","","",NA,NA,"Spruce","","","",NA,NA,NA,"","",NA,NA,NA,"",NA,NA,NA,"","1969-07-21","",202,202,1969,7,21,"","spruce forest","",NA,NA,NA,"","","",NA,"","NORTH_AMERICA",NA,NA,NA,"CA","Alberta","","","west slope Mt. Rae","","7000 feet",NA,NA,NA,NA,"","",50.616667,-115,NA,NA,NA,"","",NA,NA,NA,"",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,"",NA,"","5574","",NA,NA,NA,NA,NA,NA,"Vaccinium myrtillus L.","Vaccinium myrtillus Linnaeus","",NA,NA,NA,NA,"","Plantae","Tracheophyta","Magnoliopsida","Ericales",NA,"Ericaceae",NA,NA,NA,"Vaccinium","Vaccinium",NA,NA,"myrtillus","",NA,"SPECIES","","myrtille | myrtle whortleberry | dwarf bilberry | dwarf whortleberry | low bilberry | myrtle blueberry | whortleberry","","ACCEPTED","",NA,"5678b0b3-450b-4513-82e1-2b32c3c50b54","CA",2025-11-25 04:45:46.387,2133,0,NA,NA,NA,"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;TAXON_ID_NOT_FOUND;INSTITUTION_MATCH_FUZZY",NA,NA,"StillImage",TRUE,FALSE,2882833,2882833,6,7707728,220,1353,2505,2882813,NA,2882833,"Vaccinium myrtillus","Vaccinium myrtillus L.","Vaccinium myrtillus Linnaeus",NA,"EML",2025-11-25 04:45:46.387,2025-11-18 12:15:18.458,NA,FALSE,NA,"",FALSE,"NORTH_AMERICA","NORTH_AMERICA","CAN","Canada","CAN.1_1","Alberta","CAN.1.6_1","Division No. 15","CAN.1.6.9_1","Kananaskis",NA
"2",894987998,"","","en","CC0_1_0",NA,NA,"","University of Lethbridge Herbarium","PhysicalObject","http://grscicoll.org/institution/university-lethbridge","https://www.gbif.org/grscicoll/collection/281693a5-fba9-4040-82c3-cc6a4116e186","https://doi.org/10.5886/wrt547hq","University of Lethbridge","LEA","University of Lethbridge Herbarium (LEA)","University of Lethbridge","PRESERVED_SPECIMEN","","","","13187","13187","1767","W. Blais, J. Nagy","",NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,"","PRESENT","","","",NA,NA,"Pinus flexilis, Abies lasiocarpa, Larix lyalli","","","",NA,NA,NA,"","",NA,NA,NA,"",NA,NA,NA,"","1969-07-09","",190,190,1969,7,9,"","rocky outcropping in forest, north slope.","",NA,NA,NA,"","shrub, 3-6 in., salmon","",NA,"","NORTH_AMERICA",NA,NA,NA,"CA","Alberta","","Waterton Lakes National Park","Lower Twin Lake. Mt. Bauermont.","","6500 feet",NA,NA,NA,NA,"","",49.133333,-114.15,NA,NA,NA,"","",NA,NA,NA,"",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,"",NA,"","5574","",NA,NA,NA,NA,NA,NA,"Vaccinium myrtillus L.","Vaccinium myrtillus Linnaeus","",NA,NA,NA,NA,"","Plantae","Tracheophyta","Magnoliopsida","Ericales",NA,"Ericaceae",NA,NA,NA,"Vaccinium","Vaccinium",NA,NA,"myrtillus","",NA,"SPECIES","","myrtille | myrtle whortleberry | dwarf bilberry | dwarf whortleberry | low bilberry | myrtle blueberry | whortleberry","","ACCEPTED","",NA,"5678b0b3-450b-4513-82e1-2b32c3c50b54","CA",2025-11-25 04:45:46.387,1981,0,NA,NA,NA,"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;TAXON_ID_NOT_FOUND;INSTITUTION_MATCH_FUZZY",NA,NA,"StillImage",TRUE,FALSE,2882833,2882833,6,7707728,220,1353,2505,2882813,NA,2882833,"Vaccinium myrtillus","Vaccinium myrtillus L.","Vaccinium myrtillus Linnaeus",NA,"EML",2025-11-25 04:45:46.387,2025-11-18 12:15:18.458,NA,FALSE,NA,"",FALSE,"NORTH_AMERICA","NORTH_AMERICA","CAN","Canada","CAN.1_1","Alberta","CAN.1.13_1","Division No. 3","CAN.1.13.11_1","Improvement District No. 4",NA
"3",894987974,"","","en","CC0_1_0",NA,NA,"","University of Lethbridge Herbarium","PhysicalObject","http://grscicoll.org/institution/university-lethbridge","https://www.gbif.org/grscicoll/collection/281693a5-fba9-4040-82c3-cc6a4116e186","https://doi.org/10.5886/wrt547hq","University of Lethbridge","LEA","University of Lethbridge Herbarium (LEA)","University of Lethbridge","PRESERVED_SPECIMEN","","","","13186","13186","4789","J. Nagy","",NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,"","PRESENT","","","",NA,NA,"","","","",NA,NA,NA,"","",NA,NA,NA,"",NA,NA,NA,"","1970-07-31","",212,212,1970,7,31,"","dry edge of watershed, open, E. exposure","",NA,NA,NA,"","","",NA,"","NORTH_AMERICA",NA,NA,NA,"CA","Alberta","","Waterton Lakes National Park","Mt. Vimy","","6000 feet",NA,NA,NA,NA,"","",49.05,-113.85,NA,NA,NA,"","",NA,NA,NA,"",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,"",NA,"","5574","",NA,NA,NA,NA,NA,NA,"Vaccinium myrtillus L.","Vaccinium myrtillus Linnaeus","",NA,NA,NA,NA,"","Plantae","Tracheophyta","Magnoliopsida","Ericales",NA,"Ericaceae",NA,NA,NA,"Vaccinium","Vaccinium",NA,NA,"myrtillus","",NA,"SPECIES","","myrtille | myrtle whortleberry | dwarf bilberry | dwarf whortleberry | low bilberry | myrtle blueberry | whortleberry","","ACCEPTED","",NA,"5678b0b3-450b-4513-82e1-2b32c3c50b54","CA",2025-11-25 04:45:46.387,1829,0,NA,NA,NA,"GEODETIC_DATUM_ASSUMED_WGS84;TAXON_ID_NOT_FOUND;INSTITUTION_MATCH_FUZZY",NA,NA,"StillImage",TRUE,FALSE,2882833,2882833,6,7707728,220,1353,2505,2882813,NA,2882833,"Vaccinium myrtillus","Vaccinium myrtillus L.","Vaccinium myrtillus Linnaeus",NA,"EML",2025-11-25 04:45:46.387,2025-11-18 12:15:18.458,NA,FALSE,NA,"",FALSE,"NORTH_AMERICA","NORTH_AMERICA","CAN","Canada","CAN.1_1","Alberta","CAN.1.13_1","Division No. 3","CAN.1.13.11_1","Improvement District No. 4",NA
"4",894987947,"","","en","CC0_1_0",NA,NA,"","University of Lethbridge Herbarium","PhysicalObject","http://grscicoll.org/institution/university-lethbridge","https://www.gbif.org/grscicoll/collection/281693a5-fba9-4040-82c3-cc6a4116e186","https://doi.org/10.5886/wrt547hq","University of Lethbridge","LEA","University of Lethbridge Herbarium (LEA)","University of Lethbridge","PRESERVED_SPECIMEN","","","","13185","13185","777","K.I. Beamish, M. Bell, N. Anderson","",NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,"","PRESENT","","","",NA,NA,"Pinus, Larix","","","",NA,NA,NA,"","",NA,NA,NA,"",NA,NA,NA,"","1970-07-22","",203,203,1970,7,22,"","under Pinus-Larix open stand","",NA,NA,NA,"","lush herb layer - red berries","",NA,"","NORTH_AMERICA",NA,NA,NA,"CA","British Columbia","","","Kishinena Valley","","",NA,NA,NA,NA,"","",49,-114,NA,NA,NA,"","",NA,NA,NA,"",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,"",NA,"","5574","",NA,NA,NA,NA,NA,NA,"Vaccinium myrtillus L.","Vaccinium myrtillus Linnaeus","",NA,NA,NA,NA,"","Plantae","Tracheophyta","Magnoliopsida","Ericales",NA,"Ericaceae",NA,NA,NA,"Vaccinium","Vaccinium",NA,NA,"myrtillus","",NA,"SPECIES","","myrtille | myrtle whortleberry | dwarf bilberry | dwarf whortleberry | low bilberry | myrtle blueberry | whortleberry","","ACCEPTED","",NA,"5678b0b3-450b-4513-82e1-2b32c3c50b54","CA",2025-11-25 04:45:46.387,NA,NA,NA,NA,NA,"GEODETIC_DATUM_ASSUMED_WGS84;TAXON_ID_NOT_FOUND;INSTITUTION_MATCH_FUZZY",NA,NA,"StillImage",TRUE,FALSE,2882833,2882833,6,7707728,220,1353,2505,2882813,NA,2882833,"Vaccinium myrtillus","Vaccinium myrtillus L.","Vaccinium myrtillus Linnaeus",NA,"EML",2025-11-25 04:45:46.387,2025-11-18 12:15:18.458,NA,FALSE,NA,"",FALSE,"NORTH_AMERICA","NORTH_AMERICA","USA","United States","USA.27_1","Montana","USA.27.18_1","Glacier","","",NA
"5",883420718,"","Vaccinium myrtillus L.(ALTA-VP 128636)","","CC0_1_0",2025-08-05 00:06:36,NA,"https://search.museums.ualberta.ca/12-116760","University of Alberta Museums","","","urn:lsid:biocol.org:col:35062","","University of Alberta Museums","ALTA-VP","University of Alberta Vascular Plant Herbarium (ALTA-VP)","","PRESERVED_SPECIMEN","","","","urn:catalog:ALTA-VP:128636","128636","02562","Kuchar, P.","",1,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,"","PRESENT","dried and pressed","","",NA,NA,"douglas fir, spruce","","","",NA,NA,NA,"","",NA,NA,NA,"",NA,NA,NA,"","1972-06-24","",176,176,1972,6,24,"1972-06-24","forest, trail, slope (s)","",NA,NA,NA,"","","",NA,"North America;Canada;Alberta;Waterton Lakes National Park","NORTH_AMERICA",NA,NA,NA,"CA","Alberta","Waterton Lakes National Park","","Alderson Lake","Waterton Lakes National Park: Spruce/Douglas-fir forest on steep N-facing slope, 1 mile along trail to Alderson Lake.  By trail.","1525 m (5000 ft)",NA,NA,NA,NA,"Canadian Geographical Names Data Base","",49.0531,-113.9355,800,NA,NA,"","",NA,NA,NA,"McDougall, Seamus",2014-12-05,"","Google Earth","Coordinates are 1 miles up the trail to Alderson Lake, starting in the town of Waterton. Assumed 1/2 mile distance precision.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,"",NA,"","","",NA,NA,NA,NA,NA,NA,"Vaccinium myrtillus L.","","Vaccinium L.",NA,NA,NA,NA,"Plantae | Flowering Plants | Eudicots | Ericales | Ericaceae | Vaccinium L.","Plantae","Tracheophyta","Magnoliopsida","Ericales",NA,"Ericaceae",NA,NA,NA,"Vaccinium","Vaccinium",NA,NA,"myrtillus","",NA,"SPECIES","","","ICBN","ACCEPTED","",NA,"2429287b-ef65-4cfd-afcc-11cc3ba95cca","CA",2025-11-25 14:51:45.023,NA,NA,NA,NA,NA,"OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY",NA,NA,"",TRUE,FALSE,2882833,2882833,6,7707728,220,1353,2505,2882813,NA,2882833,"Vaccinium myrtillus","Vaccinium myrtillus L.","Vaccinium myrtillus L.",NA,"EML",2025-11-25 14:51:45.023,2025-11-18 12:15:16.262,NA,FALSE,NA,"",FALSE,"NORTH_AMERICA","NORTH_AMERICA","CAN","Canada","CAN.1_1","Alberta","CAN.1.13_1","Division No. 3","CAN.1.13.11_1","Improvement District No. 4",NA
"6",883418554,"","Vaccinium myrtillus L.(ALTA-VP 127576)","","CC0_1_0",2025-08-05 00:06:36,NA,"https://search.museums.ualberta.ca/12-113451","University of Alberta Museums","","","urn:lsid:biocol.org:col:35062","","University of Alberta Museums","ALTA-VP","University of Alberta Vascular Plant Herbarium (ALTA-VP)","","PRESERVED_SPECIMEN","","","","urn:catalog:ALTA-VP:127576","127576","","Gould, Joyce;Loewen, V.","",1,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,"","PRESENT","dried and pressed","","",NA,NA,"PI.en.","","","",NA,NA,NA,"","",NA,NA,NA,"",NA,NA,NA,"","1980-07-05","",187,187,1980,7,5,"1980-07-05","forest","",NA,NA,NA,"","","",NA,"North America;Canada;Alberta","NORTH_AMERICA",NA,NA,NA,"CA","Alberta","","","Grizzly Creek","Grizzly Creek, (moist) PI.en. forest, 17-4-3-W5","",NA,NA,NA,NA,"Canadian Geographical Names Data Base","",49.297816,-114.370889,1138,NA,NA,"","",NA,NA,NA,"McDougall, Seamus",2015-03-11,"","Alberta Geological Survey Township Converter","Legal desc converted to lat-long. In addition to section-level details used LSD 7, NW/C. Uncertainty is distance from coordinates to corners of section.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,"",NA,"","","",NA,NA,NA,NA,NA,NA,"Vaccinium myrtillus L.","","Vaccinium L.",NA,NA,NA,NA,"Plantae | Flowering Plants | Eudicots | Ericales | Ericaceae | Vaccinium L.","Plantae","Tracheophyta","Magnoliopsida","Ericales",NA,"Ericaceae",NA,NA,NA,"Vaccinium","Vaccinium",NA,NA,"myrtillus","",NA,"SPECIES","","","ICBN","ACCEPTED","",NA,"2429287b-ef65-4cfd-afcc-11cc3ba95cca","CA",2025-11-25 14:51:38.467,NA,NA,NA,NA,NA,"OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY",NA,NA,"",TRUE,FALSE,2882833,2882833,6,7707728,220,1353,2505,2882813,NA,2882833,"Vaccinium myrtillus","Vaccinium myrtillus L.","Vaccinium myrtillus L.",NA,"EML",2025-11-25 14:51:38.467,2025-11-18 12:15:16.262,NA,FALSE,NA,"",FALSE,"NORTH_AMERICA","NORTH_AMERICA","CAN","Canada","CAN.1_1","Alberta","CAN.1.13_1","Division No. 3","CAN.1.13.16_1","Pincher Creek No. 9",NA
"7",883418380,"","Vaccinium myrtillus L.(ALTA-VP 127574)","","CC0_1_0",2025-08-05 00:06:36,NA,"https://search.museums.ualberta.ca/12-113449","University of Alberta Museums","","","urn:lsid:biocol.org:col:35062","","University of Alberta Museums","ALTA-VP","University of Alberta Vascular Plant Herbarium (ALTA-VP)","","PRESERVED_SPECIMEN","","","","urn:catalog:ALTA-VP:127574","127574","","Gould, Joyce;Loewen, V.","",1,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,"","PRESENT","dried and pressed","","",NA,NA,"Pinus contorta","","","",NA,NA,NA,"","",NA,NA,NA,"",NA,NA,NA,"","1979-07-05","",186,186,1979,7,5,"1979-07-05","wooded","",NA,NA,NA,"","","",NA,"North America;Canada;Alberta","NORTH_AMERICA",NA,NA,NA,"CA","Alberta","","","Grizzly Creek","Grizzly Creek, stand 2, Pinus co., 16-4-3-W5","",NA,NA,NA,NA,"Canadian Geographical Names Data Base","",49.297824,-114.348484,1138,NA,NA,"","",NA,NA,NA,"McDougall, Seamus",2015-03-11,"","Alberta Geological Survey Township Converter","Legal desc converted to lat-long. In addition to section-level details used LSD 7, NW/C. Uncertainty is distance from coordinates to corners of section.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","Tannas, K. E.","",NA,"",NA,"","","",NA,NA,NA,NA,NA,NA,"Vaccinium myrtillus L.","","Vaccinium L.",NA,NA,NA,NA,"Plantae | Flowering Plants | Eudicots | Ericales | Ericaceae | Vaccinium L.","Plantae","Tracheophyta","Magnoliopsida","Ericales",NA,"Ericaceae",NA,NA,NA,"Vaccinium","Vaccinium",NA,NA,"myrtillus","",NA,"SPECIES","","","ICBN","ACCEPTED","",NA,"2429287b-ef65-4cfd-afcc-11cc3ba95cca","CA",2025-11-25 14:51:38.467,NA,NA,NA,NA,NA,"OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY",NA,NA,"",TRUE,FALSE,2882833,2882833,6,7707728,220,1353,2505,2882813,NA,2882833,"Vaccinium myrtillus","Vaccinium myrtillus L.","Vaccinium myrtillus L.",NA,"EML",2025-11-25 14:51:38.467,2025-11-18 12:15:16.262,NA,FALSE,NA,"",FALSE,"NORTH_AMERICA","NORTH_AMERICA","CAN","Canada","CAN.1_1","Alberta","CAN.1.13_1","Division No. 3","CAN.1.13.16_1","Pincher Creek No. 9",NA
"8",883418347,"","Vaccinium myrtillus L.(ALTA-VP 127575)","","CC0_1_0",2025-08-05 00:06:36,NA,"https://search.museums.ualberta.ca/12-113450","University of Alberta Museums","","","urn:lsid:biocol.org:col:35062","","University of Alberta Museums","ALTA-VP","University of Alberta Vascular Plant Herbarium (ALTA-VP)","","PRESERVED_SPECIMEN","","","","urn:catalog:ALTA-VP:127575","127575","","Loewen, V.","",1,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,"","PRESENT","dried and pressed","","",NA,NA,"Picea engelmannii","","","",NA,NA,NA,"","",NA,NA,NA,"",NA,NA,NA,"","1979-08-17","",229,229,1979,8,17,"1979-08-17","wooded; coniferous","",NA,NA,NA,"","","",NA,"North America;Canada;Alberta","NORTH_AMERICA",NA,NA,NA,"CA","Alberta","Bob Creek Wildland Provincial Park","","","Upper Bob's Creek [within Bob Creek Wildland Provincial Park]. Stand 2, Picea engelmannii. S7 T12 R2 W5","",NA,NA,NA,NA,"Alberta's Provincial Parks & Protected Areas","",49.983034,-114.262989,1138,NA,NA,"","",NA,NA,NA,"McDougall, Seamus",2015-03-13,"","Alberta Geological Survey Township Converter","Legal desc converted to lat-long. In addition to section-level details used LSD 7, NW/C. Uncertainty is distance from coordinates to corners of section.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","Tannas, K. E.","",NA,"",NA,"","","",NA,NA,NA,NA,NA,NA,"Vaccinium myrtillus L.","","Vaccinium L.",NA,NA,NA,NA,"Plantae | Flowering Plants | Eudicots | Ericales | Ericaceae | Vaccinium L.","Plantae","Tracheophyta","Magnoliopsida","Ericales",NA,"Ericaceae",NA,NA,NA,"Vaccinium","Vaccinium",NA,NA,"myrtillus","",NA,"SPECIES","","","ICBN","ACCEPTED","",NA,"2429287b-ef65-4cfd-afcc-11cc3ba95cca","CA",2025-11-25 14:51:38.466,NA,NA,NA,NA,NA,"OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY",NA,NA,"",TRUE,FALSE,2882833,2882833,6,7707728,220,1353,2505,2882813,NA,2882833,"Vaccinium myrtillus","Vaccinium myrtillus L.","Vaccinium myrtillus L.",NA,"EML",2025-11-25 14:51:38.466,2025-11-18 12:15:16.262,NA,FALSE,NA,"",FALSE,"NORTH_AMERICA","NORTH_AMERICA","CAN","Canada","CAN.1_1","Alberta","CAN.1.6_1","Division No. 15","CAN.1.6.10_1","Ranchland No. 66",NA
"9",668768769,"","Vaccinium myrtillus Linnaeus (QFA0490517)","","CC0_1_0",NA,NA,"","Université Laval","","2fd02649-fc08-4957-9ac5-2830e072c097","urn:lsid:biocol.org:col:15846","http://dataset.canadensys.net/qfa-vascular-specimens","Université Laval","QFA","Herbier Louis-Marie (QFA) - Collection de plantes vasculaires","Université Laval","PRESERVED_SPECIMEN","","","","QFA0490517","QFA0490517","62-285A","Gervais, Camille","",NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,"","PRESENT","mounted","","",NA,NA,"","","","",NA,NA,NA,"","",NA,NA,NA,"",NA,NA,NA,"","1962-06-24","",175,175,1962,6,24,"24 juin 1962","Forêt vers le bas de l'arête","",NA,NA,NA,"","","",NA,"","NORTH_AMERICA",NA,NA,NA,"CA","Québec","","","Mont Logan, Grande Arête, à l'intersection des versants nord et nord-est","","763 m",NA,NA,NA,NA,"","",48.893889,-66.645833,NA,NA,NA,"","",NA,NA,NA,"",NA,"","Toponymie du Québec","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","Gervais, Camille","",NA,"",NA,"","https://data.canadensys.net/vascan/taxon/5574","",NA,NA,NA,NA,NA,NA,"Vaccinium myrtillus L.","Vaccinium myrtillus Linnaeus","",NA,NA,NA,NA,"","Plantae","Tracheophyta","Magnoliopsida","Ericales",NA,"Ericaceae",NA,NA,NA,"Vaccinium","Vaccinium",NA,NA,"myrtillus","",NA,"SPECIES","","myrtle whortleberry","ICBN","ACCEPTED","",NA,"2fd02649-fc08-4957-9ac5-2830e072c097","CA",2025-11-25 13:02:38.416,763,0,NA,NA,NA,"GEODETIC_DATUM_ASSUMED_WGS84;TAXON_ID_NOT_FOUND;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY",NA,NA,"",TRUE,FALSE,2882833,2882833,6,7707728,220,1353,2505,2882813,NA,2882833,"Vaccinium myrtillus","Vaccinium myrtillus L.","Vaccinium myrtillus Linnaeus",NA,"EML",2025-11-25 13:02:38.416,2025-11-18 13:57:56.887,NA,FALSE,NA,"",FALSE,"NORTH_AMERICA","NORTH_AMERICA","CAN","Canada","CAN.11_1","Québec","CAN.11.75_1","Matane","CAN.11.75.6_1","Rivière-Bonjour",NA
"10",5900897490,"","","","CC_BY_4_0",2025-11-25 17:55:45,NA,"https://swbiodiversity.org/seinet/collections/individual/index.php?occid=34196740","","","","274317fa-b413-42b6-bb9a-cfe8f2e54962","","UNM","Vascular Plants","","","PRESERVED_SPECIMEN","","","","d83f5c3e-38db-4e43-8d29-5bd59ee277e3","","5706","Harpo Faust; Kelly Allred, Russ Kleinman, Erika Rowe","",NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,"","PRESENT","","","",NA,NA,"","","Growing within sphagnum.","",NA,NA,NA,"","",NA,NA,NA,"",NA,NA,NA,"","2025-08-11","",223,223,2025,8,11,"8/11/25","Carex dominated wetland at edge of rocky Picea forest at edge of series of flow through sphagnum fens.","",NA,NA,NA,"","","HF-332",NA,"","NORTH_AMERICA",NA,NA,NA,"US","New Mexico","Rio Arriba","","Brazos Conservation Company LLC, Sulfur Lakes, .3 mi north of HWY 64, bottom wetland.","","",NA,NA,NA,NA,"","",36.696117,-106.389001,4,NA,NA,"","",NA,NA,NA,"",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","Harpo Faust","",NA,"",NA,"","1028","",NA,NA,NA,NA,NA,NA,"Vaccinium myrtillus L.","","",NA,NA,NA,NA,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Asterids|Ericales|Ericaceae|Vaccinium","Plantae","Tracheophyta","Magnoliopsida","Ericales",NA,"Ericaceae",NA,NA,NA,"Vaccinium","Vaccinium",NA,NA,"myrtillus","",NA,"SPECIES","","","","ACCEPTED","",NA,"cc09386c-43a4-4a12-8ae4-d25610645250","US",2025-12-02 00:16:25.977,3077,NA,NA,NA,NA,"CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY",NA,NA,"",TRUE,FALSE,2882833,2882833,6,7707728,220,1353,2505,2882813,NA,2882833,"Vaccinium myrtillus","Vaccinium myrtillus L.","Vaccinium myrtillus",NA,"DWC_ARCHIVE",2025-12-02 00:16:25.977,2025-12-02 00:08:15.616,NA,FALSE,NA,"",FALSE,"NORTH_AMERICA","NORTH_AMERICA","USA","United States","USA.32_1","New Mexico","USA.32.22_1","Rio Arriba","","",NA
